create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-19 13:01:40.769382,slurm_normal,,main_w4_handler1,2641038,17507561,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11568915,slurm,,532905647,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32396389}]",0,,,,no,1,TES,yes,TSS,,41801116,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-11-19 15:49:55.905581,81070,10095.136199
2017-05-10 16:51:24.001780,slurm_normal,,main_w4_handler1,3102668,15804316,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9909150.roundup,slurm,,270931519,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29539432}]",0,,,,no,0,,no,,,37874260,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-05-10 16:56:34.511990,105462,310.51021000000003
2017-12-22 05:11:13.090658,slurm_normal,,main_w4_handler0,3373015,17876990,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11950165,slurm,,213174600,deeptools_compute_matrix_archive,corral-repl,,1,mean,blue red,false,true,5,ERE within 5kb of TSS | Rep_1,lines,11,,Oil E2,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33045891}]",0,,,,no,1,TES,yes,TSS,,42815365,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-12-22 05:13:52.221408,119023,159.13075
2017-10-18 21:55:13.936610,slurm_normal,,main_w3_handler0,3290043,17137864,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11194679,slurm,,621270432,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31738528}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-18 21:58:28.470276,84399,194.533666
2017-10-18 14:30:23.797891,slurm_normal,,main_w4_handler0,3290043,17132980,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11192914,slurm,,525827502,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31738457}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-18 19:03:17.743077,84399,16373.945186
2017-05-10 07:48:03.398022,slurm_normal,,main_w3_handler0,3102668,15800289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9905203.roundup,slurm,,270931519,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29539432}]",0,,,,no,0,,no,,,37870969,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-05-10 07:51:26.078375,105462,202.68035300000003
2017-05-12 09:04:54.578937,slurm_normal,,main_w4_handler1,3102668,15822978,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9925507.roundup,slurm,,270931519,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29539432}]",0,,,,no,0,,no,,,37874260,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-05-12 15:00:29.366692,105462,21334.787755
2017-10-18 19:06:20.182927,slurm_normal,,main_w3_handler1,3290043,17136164,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11192960,slurm,,525827502,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31738457}]",0,,,,no,1,mRNA,yes,lncRNA,,40314219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-10-18 19:09:27.755159,84399,187.572232
2017-08-02 14:01:47.728343,slurm_normal,,main_w4_handler1,3199602,16488444,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10557671.roundup,slurm,,138426544,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,0.0,1.0,hclust,2,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30718728}]",1,200,png,false,yes,0,,no,,,39639219,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-02 14:22:32.702010,109240,1244.973667
2017-06-06 12:58:43.352976,slurm_normal,,main_w3_handler1,1991423,16026348,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10117712.roundup,slurm,,885773128,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,10,,lines,11,,,yes,1.0,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29906529}]",0,,,,no,0,,no,,,37835250,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-06-06 13:02:42.578390,32351,239.22541400000003
