analysis_type|format_type|ref_file,analysis_type|format_type|ref_file_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams16,input_bams16_filetype,input_bams17,input_bams17_filetype,input_bams18,input_bams18_filetype,input_bams19,input_bams19_filetype,input_bams1_filetype,input_bams2,input_bams20,input_bams20_filetype,input_bams21,input_bams21_filetype,input_bams22,input_bams22_filetype,input_bams23,input_bams23_filetype,input_bams24,input_bams24_filetype,input_bams25,input_bams25_filetype,input_bams26,input_bams26_filetype,input_bams27,input_bams27_filetype,input_bams28,input_bams28_filetype,input_bams29,input_bams29_filetype,input_bams2_filetype,input_bams3,input_bams30,input_bams30_filetype,input_bams31,input_bams31_filetype,input_bams32,input_bams32_filetype,input_bams33,input_bams33_filetype,input_bams34,input_bams34_filetype,input_bams35,input_bams35_filetype,input_bams36,input_bams36_filetype,input_bams37,input_bams37_filetype,input_bams38,input_bams38_filetype,input_bams39,input_bams39_filetype,input_bams3_filetype,input_bams4,input_bams40,input_bams40_filetype,input_bams41,input_bams41_filetype,input_bams42,input_bams42_filetype,input_bams43,input_bams43_filetype,input_bams44,input_bams44_filetype,input_bams45,input_bams45_filetype,input_bams46,input_bams46_filetype,input_bams47,input_bams47_filetype,input_bams48,input_bams48_filetype,input_bams49,input_bams49_filetype,input_bams4_filetype,input_bams5,input_bams50,input_bams50_filetype,input_bams51,input_bams51_filetype,input_bams52,input_bams52_filetype,input_bams53,input_bams53_filetype,input_bams54,input_bams54_filetype,input_bams55,input_bams55_filetype,input_bams56,input_bams56_filetype,input_bams57,input_bams57_filetype,input_bams58,input_bams58_filetype,input_bams59,input_bams59_filetype,input_bams5_filetype,input_bams6,input_bams6_filetype,input_bams7,input_bams7_filetype,input_bams8,input_bams8_filetype,input_bams9,input_bams9_filetype,input_bams_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.format_type.__current_case__,parameters.analysis_type.format_type.format_type_selector,parameters.analysis_type.format_type.mapqual,parameters.analysis_type.format_type.reference_source.__current_case__,parameters.analysis_type.format_type.reference_source.ref_file,parameters.analysis_type.format_type.reference_source.ref_file.values,parameters.analysis_type.format_type.reference_source.reference_source_selector,parameters.chromInfo,parameters.dbkey,parameters.input_bams,parameters.input_bams.values,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-03 10:56:32.511652,slurm_normal_16gb,,main_w3_handler1,3303847,17315621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",139853938,139853938,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11375508,slurm,,corral-repl,,0,convert,3.0,bed,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31973587}]",,,,41459965,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-11-03 11:03:34.139757,114191,421.628105
,,2016-06-03 13:10:48.187985,slurm_normal_16gb,,main_w1_handler1,2347795,13059648,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2953965696,2953965696,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,7245839.roundup,slurm,,corral-repl,,2,coverage,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508df4d8498511327'}]",,,,30603481,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2016-06-03 14:18:07.930819,61107,4039.742834
,,2016-03-29 16:38:24.747378,slurm_normal_16gb,,main_w2_handler0,2642165,12274513,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2169636302,2169636302,2033742277.0,bam,2060207422.0,bam,2060127832.0,bam,1985210488.0,bam,2902639678.0,bam,3460755760.0,bam,2271497586.0,bam,1497973189.0,bam,1833429415.0,bam,2911495438.0,bam,bam,2357870207.0,1900426725.0,bam,2432760925.0,bam,1530297261.0,bam,1914253458.0,bam,2851532970.0,bam,2280197701.0,bam,2853227542.0,bam,1668605106.0,bam,2730585929.0,bam,4056065903.0,bam,bam,2655276906.0,2746016333.0,bam,3379226156.0,bam,1829116857.0,bam,1829116857.0,bam,2287281904.0,bam,3881714173.0,bam,2351585256.0,bam,2111772603.0,bam,2525853389.0,bam,2183076465.0,bam,bam,1455912414.0,2882806174.0,bam,2638635900.0,bam,3530911734.0,bam,1996184600.0,bam,3395213642.0,bam,2773807191.0,bam,1847304087.0,bam,2000505445.0,bam,1421718293.0,bam,1738871539.0,bam,bam,4288490547.0,2569568543.0,bam,2199175595.0,bam,1726564851.0,bam,2055730728.0,bam,3292958426.0,bam,3150959731.0,bam,2994338253.0,bam,2750041379.0,bam,2576839051.0,bam,3330097404.0,bam,bam,2041453629.0,bam,2164486292.0,bam,3550626928.0,bam,2149551117.0,bam,bam,6482870.roundup,slurm,,corral-repl,,0,convert,0.0,pileup,False,1.0,24047698,,history,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""23993747,23993748,23993750,23993751,23993752,23993753,23993754,23993755,23993756,23993757,23993758,23993761,23993762,23993763,23993764,23993765,23993766,23993767,23993768,23993769,23993770,23993771,23993773,23993774,23993775,23993777,23993778,23993779,23993785,23993786,23994175,23994176,23994177,23994180,23998560,23998561,23998562,23998568,23998569,23998570,23998571,23998572,23998573,23998574,23998575,23998576,23998578,23998579,23998580,23998581,23998582,23998583,23998584,23998585,23998586,23998587,23998588,23998589,23998590""",,1654081414.0,fasta,,29266596,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2016-03-30 00:57:12.675280,79663,29927.927902000003
,,2016-11-24 19:04:39.782048,slurm_normal_16gb,,main_w3_handler1,2820140,14426678,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3562119578,3562119578,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,8629102.roundup,slurm,,corral-repl,,2,coverage,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 26469588}]",,,,34205094,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2016-11-24 22:59:29.410958,89558,14089.628910000001
276545954.0,fasta,2016-11-12 19:34:44.706421,slurm_normal_16gb,,main_w4_handler1,2868947,14325867,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1826432873,1826432873,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,8533401.roundup,slurm,,corral-repl,,0,convert,0.0,pileup,false,1.0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c779be9b235d18f'}]",history,"""/galaxy-repl/main/files/017/833/dataset_17833214.dat""","""neems""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53be05cae3bba6692'}]",,,,33369915,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2016-11-12 19:37:50.736247,91348,186.029826
,,2017-11-01 10:04:01.240222,slurm_normal_16gb,,main_w3_handler1,3303847,17283881,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",139853938,139853938,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11345184,slurm,,corral-repl,,1,count,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31973587}]",,,,41459965,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-11-01 10:09:44.176976,114191,342.936754
,,2017-06-16 17:06:09.823424,slurm_normal_16gb,,main_w4_handler0,3158581,16117760,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1912037818,1912037818,,,,,,,,,,,,,,,,,,,,,bam,1573018154.0,,,,,,,,,,,,,,,,,,,,,bam,2425319283.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10199828.roundup,slurm,,corral-repl,,2,coverage,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30054902}, {'src': 'hda', 'id': 30054903}, {'src': 'hda', 'id': 30054904}]",,,,38724013,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-06-16 18:24:54.835594,107537,4725.01217
,,2017-11-01 10:24:55.287787,slurm_normal_16gb,,main_w3_handler0,3303847,17283989,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",139853938,139853938,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11345329,slurm,,corral-repl,,1,count,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31973587}]",,,,41459965,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-11-01 10:31:35.068943,114191,399.781156
,,2017-05-25 06:53:50.291382,slurm_normal_16gb,,main_w3_handler1,2542554,15934349,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1952579571,1952579571,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10032781.roundup,slurm,,corral-repl,,2,coverage,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29764846}]",,,,37597403,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-05-25 06:57:23.196595,68970,212.905213
,,2017-11-01 09:42:36.700345,slurm_normal_16gb,,main_w4_handler0,3303847,17283763,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",139853938,139853938,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11345086,slurm,,corral-repl,,0,convert,3.0,bed,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31973587}]",,,,41459965,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2,0.0.2,,2017-11-01 09:55:39.284004,114191,782.583659
