chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.k,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_opt,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.ma,parameters.analysis_type.scoring_options.mp,parameters.analysis_type.scoring_options.np,parameters.analysis_type.scoring_options.rdg_read_extend,parameters.analysis_type.scoring_options.rdg_read_open,parameters.analysis_type.scoring_options.rfg_ref_extend,parameters.analysis_type.scoring_options.rfg_ref_open,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.aligned_file,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file.values,parameters.reference_genome.source,parameters.rg.__current_case__,parameters.rg.rg_selector,parameters.save_mapping_stats,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-07-07 11:46:02.893986,slurm_multi_dynamic_walltime,,main_w2_handler2,2753004,13352319,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3782320081,fastqsanger,,,7561936,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e78254034fec1abb'}]",,,,,,,,,,,,single,false,0,mm10,,indexed,3,do_not_set,"""false""",,31171145,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-07 11:56:54.839077,86772,651.945091
,,2017-03-31 14:48:50.025598,slurm_multi_dynamic_walltime,,main_w3_handler2,3053733,15448530,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11188859,fastqsanger,,,9579424,slurm,,corral-repl,5667193.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 29005175}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 29005283}]",history,3,do_not_set,"""true""",,37010136,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-03-31 15:13:43.296645,103357,1493.2710470000002
,,2016-06-30 06:47:08.568929,slurm_multi_dynamic_walltime,,main_w1_handler2,2626700,13294062,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",247412931,fastqsanger,202631411.0,fastqsanger,7495666,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d028e573c170d2a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54492423d2c32c602'}]",10000,10000000,0.0,false,--fr,false,false,false,false,yes,paired,false,0,mm9,,indexed,3,do_not_set,"""false""",,30255673,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-06-30 06:50:40.974553,61645,212.40562400000002
,,2016-07-02 15:32:09.170746,slurm_multi_dynamic_walltime,,main_w1_handler2,2736303,13313646,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3094810,fastqsanger,,,7520417,slurm,,corral-repl,,,,0,no,,1,20,0,0.0,0.0,end-to-end,"L,0,-0.6",yes,15,4,"S,1,0.50",false,"L,0,0.15",false,false,false,full,20,3,0.0,yes,1.0,no,1.0,no,,1.0,10000,k,false,1.0,no,0.0,2,"6,2",1,3,5,3,5,yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579aeca5e0e6abbf6'}]",,,,,,,,,,,,single,false,0,mm9,,indexed,3,do_not_set,"""false""",,30810736,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-03 20:02:32.777835,27915,102623.60708900001
,,2017-08-03 13:09:17.616648,slurm_multi_dynamic_walltime,,main_w3_handler2,3200150,16497930,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1773666468,fastqsanger,,,10567521,slurm,,corral-repl,,,,0,no,,1,22,1,0.0,0.0,end-to-end,"L,-0.6,-0.6",yes,15,4,"S,1,1.15",false,"L,0,0.15",false,false,false,full,,,1.0,no,1.0,no,1.0,no,,2.0,,a,false,1.0,no,1.0,,,,,,,,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 30585606}]",,,,,,,,,,,,single,false,0,hg38canon,,indexed,3,do_not_set,"""true""",,39460579,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-08-03 13:15:47.912127,108158,390.295479
13278423.0,len,2016-07-09 00:56:06.864717,slurm_multi_dynamic_walltime,,main_w1_handler2,2755746,13365526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",150332969,fastqsanger,,,7575525,slurm,,corral-repl,205678655.0,fasta,,1,yes,pulsar_stampede_normal,0,,,,,,,,,,,,,,,,simple,,,,,,,,,--sensitive-local,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/016/442/dataset_16442726.dat""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5deb64718a36a18d1'}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5490b7a01c8f08d88'}]",history,2,set_id_auto,"""true""",,31234577,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-09 01:02:47.733529,86876,400.86881200000005
,,2016-10-20 14:58:43.232702,slurm_multi_dynamic_walltime,,main_w3_handler2,2854742,14131492,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",125488033,fastqsanger,,,8345743,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c8b95e318a43c9e'}]",,,,,,,,,,,,single,false,0,papHam1,,indexed,3,do_not_set,"""false""",,33567893,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-10-20 15:01:40.403816,91889,177.17111400000002
,,2016-07-06 09:22:43.659614,slurm_multi_dynamic_walltime,,main_w1_handler2,2753004,13342193,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3782320081,fastqsanger,,,7550767,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e78254034fec1abb'}]",,,,,,,,,,,,single,false,0,mm10,,indexed,3,do_not_set,"""false""",,31171145,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-06 09:40:46.096588,86772,1082.436974
,,2016-11-21 13:31:33.043890,slurm_multi_dynamic_walltime,,main_w4_handler2,2297162,14398165,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",63720985,fastqsanger,,,8603224,slurm,,corral-repl,2357817311.0,fasta,,1,yes,slurm_multi,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,true,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5db5be5e1a762dda6'}]",,,,,,,,,,,,single,true,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3e529678cf4e31c'}]",history,3,do_not_set,"""false""",,34325970,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-11-21 14:23:40.425953,63254,3127.382063
,,2016-11-21 13:31:33.904280,slurm_multi_dynamic_walltime,,main_w3_handler2,2297162,14398166,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",81067313,fastqsanger,,,8603226,slurm,,corral-repl,2357817311.0,fasta,,1,yes,slurm_multi,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,true,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d194831e5ff26e1a'}]",,,,,,,,,,,,single,true,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b3e529678cf4e31c'}]",history,3,do_not_set,"""false""",,34325970,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-11-21 14:20:14.874809,63254,2920.970529
