chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.input_options.int_quals,parameters.analysis_type.input_options.qupto,parameters.analysis_type.input_options.qv_encoding,parameters.analysis_type.input_options.skip,parameters.analysis_type.input_options.solexa_quals,parameters.analysis_type.input_options.trim3,parameters.analysis_type.input_options.trim5,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.non_deterministic,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.other_options.reorder,parameters.analysis_type.other_options.seed,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_opt,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.no_unal,parameters.analysis_type.sam_options.omit_sec_seq,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.ma,parameters.analysis_type.scoring_options.mp,parameters.analysis_type.scoring_options.np,parameters.analysis_type.scoring_options.rdg_read_extend,parameters.analysis_type.scoring_options.rdg_read_open,parameters.analysis_type.scoring_options.rfg_ref_extend,parameters.analysis_type.scoring_options.rfg_ref_open,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.input_1|__identifier__,parameters.library.__current_case__,parameters.library.aligned_file,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file.values,parameters.reference_genome.source,parameters.rg.__current_case__,parameters.rg.rg_selector,parameters.save_mapping_stats,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-04 09:53:28.729863,slurm_multi,,main_w4_handler2,3380968,17942412,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1714938057,fasta,,,12018509,slurm,,corral-repl,2803943.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""R3.clean.fa""",0,false,"[{'src': 'hda', 'id': 33159133}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 33166400}]",history,3,do_not_set,"""true""",,42962496,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-04 10:05:39.419756,119319,730.6898930000001
,,2017-10-30 14:49:00.073234,slurm_multi,,main_w4_handler2,3302728,17265060,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",630677948,fastqsanger.gz,,,11324252,slurm,,corral-repl,,,,0,no,,1,,,1.0,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,,,,,,,,0.0,false,yes,false,0,,2.0,a,true,1.0,,,no,1.0,,,,,,,,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,0,false,"[{'src': 'hda', 'id': 31935689}]",,,,,,,,,,,,single,false,0,hg38,,indexed,3,do_not_set,"""false""",,41594465,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-10-31 08:08:08.393780,114026,62348.320546
23433632.0,len,2017-11-29 03:48:05.220037,slurm_multi,,main_w4_handler2,3339062,17629424,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8043589967,fastqsanger,8043589967.0,fastqsanger,11689914,slurm,,corral-repl,13725373601.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,--sensitive-local,,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/022/471/dataset_22471550.dat""","""?""",,1,false,"[{'src': 'hda', 'id': 32535970}]","[{'src': 'hda', 'id': 32535971}]",0,2000,0.0,false,--rf,false,false,false,false,yes,paired,false,1,,"[{'src': 'hda', 'id': 32576174}]",history,3,do_not_set,"""false""",,42246100,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-11-29 04:17:26.160883,117104,1760.9408460000002
272.0,len,2018-03-07 10:27:20.583153,slurm_multi,,main_w4_handler2,3452509,18637274,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5432882673,fastqsanger,,,12733622,slurm,,corral-repl,43341636.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/023/953/dataset_23953657.dat""","""?""",,0,false,"[{'src': 'hda', 'id': 34240780}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 34261114}]",history,3,do_not_set,"""true""",,44369431,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-03-07 10:30:07.071021,123405,166.48786800000002
,,2017-11-02 18:45:45.170073,reserved_multi,,main_w4_handler2,3306281,17307159,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",482100017,fastqsanger.gz,,,11366369.roundup,slurm,,corral-repl,,,,0,no,,1,,,1.0,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,,,,,,,,0.0,false,yes,false,0,,2.0,a,true,1.0,,,no,1.0,,,,,,,,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,0,false,"[{'src': 'hda', 'id': 31994943}]",,,,,,,,,,,,single,false,0,hg_g1k_v37,,indexed,3,do_not_set,"""false""",,40570174,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-11-03 08:41:39.388605,5254,50154.218532000006
,,2017-11-21 20:40:50.927871,slurm_multi,,main_w3_handler2,369440,17541619,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",33465119,fastqsanger,,,11601043,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 32460067}]",,,,,,,,,,,,single,false,0,Homo_sapiens_nuHg19_mtrCRS,,indexed,3,do_not_set,"""false""",,41565279,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-11-21 20:45:46.199837,5330,295.271966
,,2017-11-07 16:14:30.036881,slurm_multi,,main_w3_handler2,3313431,17369150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",48774762596,fasta,,,11426857,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 32095555}]",,,,,,,,,,,,single,false,0,papHam1,,indexed,3,do_not_set,"""false""",,41816135,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-11-07 17:16:16.905113,115421,3706.8682320000003
,,2018-01-17 14:13:46.542102,slurm_multi,,main_w3_handler2,3395326,18060337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",140616378,fasta,,,12138444,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,--very-fast,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 33350458}]",,,,,,,,,,,,single,false,0,dm3,,indexed,3,do_not_set,"""false""",,43244604,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-17 14:25:44.866222,120093,718.32412
,,2017-09-27 06:57:28.916990,slurm_multi,,main_w3_handler2,3267826,16943130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",500073,fasta,,,11012662.roundup,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 31436813}]",,,,,,,,,,,,single,false,0,papHam1,,indexed,3,do_not_set,"""false""",,40665306,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-09-27 07:02:24.283711,102539,295.36672100000004
,,2017-09-28 14:22:16.615167,slurm_multi,,main_w3_handler2,3269360,16962010,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",731640465,fasta,,,11029584.roundup,slurm,,corral-repl,8791401.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 31462167}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 31462081}]",history,3,do_not_set,"""true""",,40930336,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-09-28 15:39:27.342590,112447,4630.727423
