chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type.__current_case__,parameters.analysis_type.algorithmic_options.__current_case__,parameters.analysis_type.algorithmic_options.algorithmic_options_selector,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.io_options.__current_case__,parameters.analysis_type.io_options.io_options_selector,parameters.analysis_type.scoring_options.A,parameters.analysis_type.scoring_options.B,parameters.analysis_type.scoring_options.E,parameters.analysis_type.scoring_options.L,parameters.analysis_type.scoring_options.O,parameters.analysis_type.scoring_options.U,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.fastq_input.__current_case__,parameters.fastq_input.fastq_input1,parameters.fastq_input.fastq_input2,parameters.fastq_input.fastq_input_selector,parameters.fastq_input.iset_stats,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.rg.ID,parameters.rg.SM,parameters.rg.__current_case__,parameters.rg.rg_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-27 10:55:55.846435,rodeo_normal,,15100163,fastqsanger,,,main_w2_handler1,2221691,8827609,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2943515.roundup,slurm,,corral-repl,,"""2f79e274be6f11e489f3005056a51846""",2,1.0,do_not_set,full,1.0,do_not_set,1,4,"1,1","5,5","6,6",17,0.0,set,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,18667878,,single,,1,18667014,history,readgroup1,blood,0,set,3199905909,fasta,,21418968,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-02-27 11:00:55.133452,45153,299.287017
,,2015-03-25 08:45:48.718170,rodeo_normal,,9341760356,fastqsanger,9315784947.0,fastqsanger,main_w1_handler1,2247122,9031263,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3316678.roundup,slurm,,corral-repl,,,0,,,illumina,,,,,,,,,,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""","""hg19""",0,18987350,18987351.0,paired,,1,18988052,history,KGED129,KGED129,0,set,3199905909,fasta,,22009856,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-25 09:04:55.562193,58799,1146.844023
,,2015-03-09 06:29:57.786502,rodeo_normal,,7670506,fastqsanger,,,main_w1_handler1,2215219,8893888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3065224.roundup,slurm,,corral-repl,,,1,,,pacbio,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,18779165,,single,,1,18709983,history,,,1,do_not_set,835714844,fasta,,21556595,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-09 06:31:51.733651,60032,113.94714900000001
,,2015-03-08 11:00:06.276369,rodeo_normal,,8737286,fastqsanger,,,main_w1_handler0,2215219,8891181,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3060613.roundup,slurm,,corral-repl,,,2,1.0,do_not_set,full,1.0,do_not_set,,,,,,,1.0,do_not_set,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,18778645,,single,,1,18709983,history,,,1,do_not_set,835714844,fasta,,21556595,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-08 11:02:33.686511,60032,147.410142
376.0,len,2015-03-26 16:05:14.072141,rodeo_normal,,35131186,fastqsanger,35142316.0,fastqsanger,main_w1_handler1,2239868,9050339,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3335489.roundup,slurm,,corral-repl,,,0,,,illumina,,,,,,,,,,,"""/galaxy-repl/main/files/010/791/dataset_10791597.dat""","""?""",0,18988297,18988318.0,paired,,1,19004275,history,,,1,do_not_set,3199905909,fasta,,22014266,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-26 16:11:00.833166,60400,346.761025
,,2015-03-08 03:51:16.447647,rodeo_normal,,9239083317,fastqsanger,9239481231.0,fastqsanger,main_w1_handler1,2230135,8890297,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3059311.roundup,slurm,,corral-repl,,,0,,,illumina,,,,,,,,,,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""","""hg19""",0,18774880,18774919.0,paired,,1,18774963,history,,,1,do_not_set,3199905909,fasta,,21644708,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-08 03:53:26.891730,58799,130.444083
,,2015-03-08 11:30:28.548934,rodeo_normal,,7670506,fastqsanger,,,main_w1_handler0,2215219,8891499,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3060795.roundup,slurm,,corral-repl,,,1,,,pacbio,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,18779165,,single,,1,18709983,history,,,1,do_not_set,835714844,fasta,,21556595,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-08 11:33:09.601804,60032,161.05287
,,2015-03-08 11:13:50.097213,rodeo_normal,,8737286,fastqsanger,,,main_w2_handler0,2215219,8891292,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3060673.roundup,slurm,,corral-repl,,,1,,,pacbio,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,18778776,,single,,1,18709983,history,,,1,do_not_set,835714844,fasta,,21556595,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-08 11:15:12.818772,60032,82.721559
,,2015-03-25 09:14:18.831850,rodeo_normal,,9341760356,fastqsanger,9315784947.0,fastqsanger,main_w1_handler1,2247122,9031431,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3316833.roundup,slurm,,corral-repl,,,0,,,illumina,,,,,,,,,,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""","""hg19""",0,18987350,18987351.0,paired,,1,18988052,history,KGED129,KGED129,0,set,3199905909,fasta,,22009856,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-25 09:19:47.422773,58799,328.59092300000003
,,2015-03-26 15:22:49.657338,rodeo_normal,,35131186,fastqsanger,35142316.0,fastqsanger,main_w2_handler0,2239868,9049504,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3334324.roundup,slurm,,corral-repl,,,0,,,illumina,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,18988297,18988318.0,paired,,1,19004275,history,,,1,do_not_set,3199905909,fasta,,22014266,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.1,0.1,,2015-03-26 15:30:57.226800,60400,487.56946200000004
