create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.indices,parameters.genomeSource.ownFile,parameters.genomeSource.ownFile.values,parameters.genomeSource.refGenomeSource,parameters.paired.__current_case__,parameters.paired.input1,parameters.paired.input1.values,parameters.paired.input2,parameters.paired.input2.values,parameters.paired.sPaired,parameters.params.__current_case__,parameters.params.disallowIndel,parameters.params.disallowLongDel,parameters.params.fracMissingAligns,parameters.params.gapExtensPenalty,parameters.params.gapOpenPenalty,parameters.params.maxEditDist,parameters.params.maxEditDistSeed,parameters.params.maxGapExtens,parameters.params.maxGapOpens,parameters.params.maxInsertSize,parameters.params.maxOccurPairing,parameters.params.mismatchPenalty,parameters.params.noIterSearch,parameters.params.outputTopN,parameters.params.outputTopNDisc,parameters.params.readGroup.__current_case__,parameters.params.readGroup.specReadGroup,parameters.params.seed,parameters.params.source_select,parameters.params.suboptAlign,parameters.suppressHeader,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-06 08:03:05.386419,slurm_multi_dynamic_walltime,,main_w2_handler2,2607691,12351391,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3699154606,fastqsanger,2709272682,fastqsanger,6555928,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,24152890.0,,24152891.0,,paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""False""",,28608820.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-04-06 20:46:37.868595,79297,45812.482176000005
2018-02-09 03:07:58.917429,slurm_multi,,main_w4_handler2,3422314,18323443,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11854076738,fastqsanger,10914348458,fastqsanger,12407567,slurm,,corral-repl,,,,0,no,,"""6da918d40d4611e88da0005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33757589}]",,"[{'src': 'hda', 'id': 33757588}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-09 14:57:59.536471,69003,42600.619042000006
2016-04-07 15:33:12.918012,slurm_multi_dynamic_walltime,,main_w2_handler2,2607691,12365524,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3699154606,fastqsanger,2709272682,fastqsanger,6569055,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,24152890.0,,24152891.0,,paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""False""",,28608820.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-04-08 01:03:15.839476,79297,34202.921464
2018-02-16 19:57:36.459478,slurm_multi,,main_w3_handler2,3424000,18415379,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6522269645,fastqsanger,7059889217,fastqsanger,12507028,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33904949}]",,"[{'src': 'hda', 'id': 33904953}]",paired,1,5,16,0.04,4,11,0,2,-1,1,500,100000,3,false,3,10,1.0,no,-1,full,,"""false""",,43963164.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-17 16:34:57.575694,114804,74241.11621600001
2018-02-09 20:54:02.885625,slurm_multi,,main_w4_handler2,3424000,18333249,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13938259074,fastqsanger,12518824830,fastqsanger,12417675,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33779190}]",,"[{'src': 'hda', 'id': 33779189}]",paired,1,5,16,0.04,4,11,0,2,-1,1,500,100000,3,false,3,10,1.0,no,-1,full,,"""false""",,43814098.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-10 08:24:19.979252,114804,41417.093627
2018-02-16 19:56:54.972307,slurm_multi,,main_w3_handler2,3424000,18415226,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5777158062,fastqsanger,6642973352,fastqsanger,12501421,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33877675}]",,"[{'src': 'hda', 'id': 33904945}]",paired,1,5,16,0.04,4,11,0,2,-1,1,500,100000,3,false,3,10,1.0,no,-1,full,,"""false""",,43963164.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-17 06:22:11.658718,114804,37516.686411
2015-05-19 07:51:10.472673,slurm_multi_dynamic_walltime,,main_w2_handler2,2295142,9493737,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20103099595,fastqsanger,20103099595,fastqsanger,3815944,slurm,,corral-repl,84485583798.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,19717592.0,,history,1,19717543.0,,19717543.0,,paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""False""",,23164709.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2015-05-19 08:04:38.176118,63178,807.7034450000001
2016-08-31 14:28:48.991171,slurm_multi_dynamic_walltime,,main_w3_handler2,2806190,13755230,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23080718980,fastqsanger,22177103916,fastqsanger,7976022,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,/galaxy/data/hg18/bwa_index/hg18.fa,,,indexed,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576673bf224bf01c8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585e34293fa999ede'}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,32065860.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-09-01 03:37:00.404916,73652,47291.413745000005
2015-05-19 08:43:37.699287,slurm_multi_dynamic_walltime,,main_w2_handler2,2295145,9493892,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20103099595,fastqsanger,20103099595,fastqsanger,3816118,slurm,,corral-repl,84485583798.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,19717450.0,,history,1,19717533.0,,19717533.0,,paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""False""",,23166711.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2015-05-19 08:55:15.121492,63179,697.4222050000001
2016-03-14 11:00:54.774399,slurm_multi_dynamic_walltime,,main_w2_handler2,2427090,12126458,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7543653390,fastqsanger,7543653390,fastqsanger,6346905,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,hg38,,,indexed,1,23794236.0,,23794332.0,,paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""False""",,28029926.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-03-14 13:53:00.232112,64160,10325.457713
