create_time,destination_id,exit_code,first_input,first_input_filetype,handler,history_id,id,imported,info,input_files_0|additional_input,input_files_0|additional_input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.annotation.__current_case__,parameters.annotation.reference_annotation,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.first_input,parameters.input_files,parameters.seq_data.__current_case__,parameters.seq_data.use_seq_data,reference_annotation,reference_annotation_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-08 03:21:06.702219,slurm_multi_dynamic_walltime,,34175895,gtf,main_w2_handler2,2661069,12378209,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",31562774.0,gtf,6576703,slurm,,corral-repl,,0.0,no,,0,24182979,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24198505,"[{""__index__"": 0, ""additional_input"": 24198510}]",0,No,1164355302,gtf,,29487900,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2016-04-08 03:58:43.152849,78197,2256.4506300000003
2015-03-24 18:22:42.985587,roundup_multi,,65746725,gtf,main_w2_handler2,2241460,9026298,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3311450,slurm,,corral-repl,,,,,0,18977600,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",18975054,[],0,No,715566959,gtf,,21926956,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-03-24 18:40:40.379396,61223,1077.3938090000001
2015-04-11 19:26:29.754703,slurm_multi,,9493019,gtf,main_w2_handler2,2256453,9203940,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3485082,slurm,,corral-repl,,,,,0,19239006,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19238605,[],0,No,715569327,gtf,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-04-11 19:54:01.846742,61766,1652.092039
2015-05-18 20:48:08.639138,slurm_multi_dynamic_walltime,,54502539,gtf,main_w2_handler2,2299825,9490531,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51136817.0,gtf,3813047,slurm,,corral-repl,,0.0,no,,0,19745451,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19726136,"[{""__index__"": 0, ""additional_input"": 19726140}]",0,No,726688187,gtf,,23154877,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-18 21:00:11.523064,63307,722.8839260000001
2015-05-16 15:27:38.129171,slurm_multi_dynamic_walltime,,54502539,gtf,main_w2_handler2,2299825,9483594,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51136817.0,gtf,3807499,slurm,,corral-repl,,0.0,no,,0,19726110,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19726136,"[{""__index__"": 0, ""additional_input"": 19726140}]",0,No,726685336,gtf,,22980004,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-16 15:38:45.216755,63307,667.087584
2015-05-18 20:37:28.661929,slurm_multi_dynamic_walltime,,52907839,gtf,main_w2_handler2,2238543,9490407,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",52907839.0,gtf,3812972,slurm,,corral-repl,,0.0,no,,0,19735189,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19734600,"[{""__index__"": 0, ""additional_input"": 19734600}]",0,No,726688187,gtf,,21770907,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-18 20:49:09.970694,60845,701.308765
2015-05-17 22:14:31.410002,slurm_multi_dynamic_walltime,,54502539,gtf,main_w2_handler2,2299825,9486536,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51136817.0,gtf,3810361,slurm,,corral-repl,,1.0,yes,slurm_multi,0,19732710,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19726136,"[{""__index__"": 0, ""additional_input"": 19726140}]",0,No,726688187,gtf,,22980004,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-18 14:55:41.751130,63307,60070.34112800001
2015-04-13 09:19:38.832095,slurm_multi,,5617190,gtf,main_w2_handler2,2256453,9214288,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3496271,slurm,,corral-repl,,,,,0,19239006,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19239017,[],0,No,715569327,gtf,,22319313,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-04-13 09:26:53.520011,61766,434.68791600000003
2015-05-16 14:23:39.972032,slurm_multi_dynamic_walltime,,54502539,gtf,main_w2_handler2,2299825,9483448,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51136817.0,gtf,3807366,slurm,,corral-repl,,0.0,no,,0,19726110,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19726136,"[{""__index__"": 0, ""additional_input"": 19726140}]",0,No,726685336,gtf,,22980004,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-16 14:37:49.723487,63307,849.7514550000001
2015-05-16 20:48:04.828503,slurm_multi_dynamic_walltime,,54502539,gtf,main_w2_handler2,2299825,9484367,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51136817.0,gtf,3808112,slurm,,corral-repl,,0.0,no,,0,19732710,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19726136,"[{""__index__"": 0, ""additional_input"": 19726140}]",0,No,726688187,gtf,,23129438,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-16 20:58:57.175517,63307,652.3470140000001
2015-05-19 01:25:17.272444,slurm_multi_dynamic_walltime,,52165050,gtf,main_w2_handler2,2238543,9491549,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3814072,slurm,,corral-repl,,0.0,no,,0,19735189,Yes,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19734548,[],0,No,726688187,gtf,,23155032,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/0.0.6,0.0.6,,2015-05-19 01:34:15.305123,60845,538.032679
