chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams1_filetype,input_bams2,input_bams2_filetype,input_bams3,input_bams3_filetype,input_bams4,input_bams4_filetype,input_bams5,input_bams5_filetype,input_bams6,input_bams6_filetype,input_bams7,input_bams7_filetype,input_bams8,input_bams8_filetype,input_bams9,input_bams9_filetype,input_bams_filetype,input_target_bed,input_target_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.options_type.O,parameters.options_type.__current_case__,parameters.options_type.algorithmic_features.__current_case__,parameters.options_type.algorithmic_features.algorithmic_features_selector,parameters.options_type.allele_scope.I,parameters.options_type.allele_scope.X,parameters.options_type.allele_scope.__current_case__,parameters.options_type.allele_scope.allele_scope_selector,parameters.options_type.allele_scope.haplotype_length,parameters.options_type.allele_scope.i,parameters.options_type.allele_scope.min_repeat_entropy,parameters.options_type.allele_scope.min_repeat_length,parameters.options_type.allele_scope.n,parameters.options_type.allele_scope.no_partial_observations,parameters.options_type.allele_scope.u,parameters.options_type.genotype_likelihoods.__current_case__,parameters.options_type.genotype_likelihoods.genotype_likelihoods_selector,parameters.options_type.input_filters.C,parameters.options_type.input_filters.F,parameters.options_type.input_filters.G,parameters.options_type.input_filters.R,parameters.options_type.input_filters.Y,parameters.options_type.input_filters.__current_case__,parameters.options_type.input_filters.e,parameters.options_type.input_filters.input_filters_selector,parameters.options_type.input_filters.m,parameters.options_type.input_filters.min_alternate_qsum,parameters.options_type.input_filters.min_coverage,parameters.options_type.input_filters.mismatch_filters.Q,parameters.options_type.input_filters.mismatch_filters.U,parameters.options_type.input_filters.mismatch_filters.__current_case__,parameters.options_type.input_filters.mismatch_filters.mismatch_filters_selector,parameters.options_type.input_filters.mismatch_filters.read_snp_limit,parameters.options_type.input_filters.mismatch_filters.z,parameters.options_type.input_filters.q,parameters.options_type.input_filters.standard_filters,parameters.options_type.input_filters.use_duplicate_reads,parameters.options_type.min_coverage,parameters.options_type.optional_inputs.__current_case__,parameters.options_type.optional_inputs.optional_inputs_selector,parameters.options_type.options_type_selector,parameters.options_type.population_mappability_priors.__current_case__,parameters.options_type.population_mappability_priors.population_mappability_priors_selector,parameters.options_type.population_model.J,parameters.options_type.population_model.K,parameters.options_type.population_model.P,parameters.options_type.population_model.T,parameters.options_type.population_model.__current_case__,parameters.options_type.population_model.population_model_selector,parameters.options_type.reference_allele.Z,parameters.options_type.reference_allele.__current_case__,parameters.options_type.reference_allele.reference_allele_selector,parameters.options_type.reference_allele.reference_quality,parameters.options_type.reporting.__current_case__,parameters.options_type.reporting.reporting_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.input_target_bed.values,parameters.target_limit_type.region_chromosome,parameters.target_limit_type.region_end,parameters.target_limit_type.region_start,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-01 14:48:10.873446,slurm_normal,,main_w3_handler1,2572687,17663239,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11441553333,11441553333,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,943731.0,bed,11723664,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,naive_w_filters,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 32626614}]",hg19,,cached,1,"[{'src': 'hda', 'id': 32568227}]",,,,limit_by_target_file,,,,41893080,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-12-02 02:36:08.933174,63934,42478.059728
,,2018-03-01 09:00:32.243347,slurm_normal,,main_w4_handler0,3444902,18560891,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4724368525,4724368525,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,12657793,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,simple_w_filters,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 34135981}]",hg19,,cached,0,,,,,do_not_limit,,,,44201509,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2018-03-01 17:27:37.780660,84504,30425.537313
,,2017-08-01 19:54:14.000903,slurm_normal,,main_w4_handler0,3204784,16481237,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",665500523,665500523,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,10550091.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 30704301}]",hg19,,cached,0,,,,,do_not_limit,,,,37838665,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-08-01 20:03:19.743708,71268,545.7428050000001
,,2017-10-16 14:11:47.297692,slurm_normal,,main_w3_handler1,3285539,17113287,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",129603272,129603272,426082.0,bam,136957568.0,bam,76839049.0,bam,17927251.0,bam,46785503.0,bam,167860351.0,bam,bam,9988909.0,bam,67317265.0,bam,59511843.0,bam,58437992.0,bam,33378158.0,bam,9264133.0,bam,101399503.0,bam,10999640.0,bam,bam,648.0,bed,11170280.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",false,0.0,1.0,do_not_set,,,1.0,do_not_set,,,,,,,,1.0,do_not_set,2,0.1,1,0,0,0.0,1000,set,1,0,10,,,1.0,do_not_set,,,0,false,false,,1.0,do_not_set,full,1.0,do_not_set,,,,,1.0,do_not_set,,1.0,do_not_set,,1.0,do_not_set,0,"[{'src': 'hda', 'id': 31670064}, {'src': 'hda', 'id': 31670069}, {'src': 'hda', 'id': 31670071}, {'src': 'hda', 'id': 31670076}, {'src': 'hda', 'id': 31670082}, {'src': 'hda', 'id': 31670083}, {'src': 'hda', 'id': 31670087}, {'src': 'hda', 'id': 31670088}, {'src': 'hda', 'id': 31670092}, {'src': 'hda', 'id': 31670104}, {'src': 'hda', 'id': 31670114}, {'src': 'hda', 'id': 31670116}, {'src': 'hda', 'id': 31670121}, {'src': 'hda', 'id': 31670131}, {'src': 'hda', 'id': 31670145}]",hg19,,cached,1,"[{'src': 'hda', 'id': 31677541}]",,,,limit_by_target_file,,,,41315269,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-10-16 14:31:39.856316,105144,1192.558624
,,2017-07-02 10:57:52.929653,slurm_normal,,main_w3_handler0,3171906,16241152,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5551009641,5551009641,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,10316593.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30262015}]",,"[{'src': 'hda', 'id': 30244184}]",history,0,,,,,do_not_limit,120864955.0,fasta,,38917029,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-07-03 17:25:56.621034,4284,109683.69138100001
8.0,len,2017-06-26 20:32:42.736271,slurm_normal,,main_w4_handler1,3172232,16192419,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",125078783,125078783,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,10268591.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/020/421/dataset_20421334.dat""","""?""",,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30165562}]",,"[{'src': 'hda', 'id': 30162646}]",history,0,,,,,do_not_limit,386.0,fasta,,38921053,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-27 01:07:02.508990,108180,16459.772719
,,2017-07-30 02:08:36.787635,slurm_normal,,main_w3_handler1,3206035,16457915,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",89663314,89663314,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,10526100.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 30671183}]",hg38,,cached,0,,,,,do_not_limit,,,,37969249,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-07-30 09:38:46.247460,26096,27009.459825
,,2017-08-18 00:14:04.264755,slurm_normal,,main_w4_handler0,3204784,16605651,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",668847214,668847214,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,10677610.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30909965}]",,"[{'src': 'hda', 'id': 30909950}]",history,0,,,,,do_not_limit,151.0,fasta,,39554139,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-08-18 00:17:01.427858,71268,177.163103
,,2017-12-25 22:18:24.367857,slurm_normal,,main_w4_handler0,3159970,17894999,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8095641984,8095641984,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,11969062,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,simple_w_filters,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 30139747}]",hg19,,cached,0,,,,,do_not_limit,,,,42799679,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-12-26 01:52:45.281190,47785,12860.913333
,,2017-11-03 21:09:31.413302,slurm_normal,,main_w4_handler0,3310221,17322899,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",22299729,22299729,112393865.0,bam,101095854.0,bam,672047578.0,bam,118210217.0,bam,,,,,bam,49576711.0,bam,192769539.0,bam,28635563.0,bam,13075926.0,bam,52779143.0,bam,103098125.0,bam,135759897.0,bam,24113258.0,bam,bam,648.0,bed,11383036,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",false,0.0,1.0,do_not_set,,,1.0,do_not_set,,,,,,,,1.0,do_not_set,2,0.1,10,0,0,0.0,1000,set,1,0,0,,,1.0,do_not_set,,,0,false,false,,1.0,do_not_set,full,1.0,do_not_set,,,,,1.0,do_not_set,,1.0,do_not_set,,1.0,do_not_set,0,"[{'src': 'hda', 'id': 32051764}, {'src': 'hda', 'id': 32051770}, {'src': 'hda', 'id': 32051778}, {'src': 'hda', 'id': 32051780}, {'src': 'hda', 'id': 32051781}, {'src': 'hda', 'id': 32051783}, {'src': 'hda', 'id': 32051787}, {'src': 'hda', 'id': 32051808}, {'src': 'hda', 'id': 32051809}, {'src': 'hda', 'id': 32051812}, {'src': 'hda', 'id': 32051820}, {'src': 'hda', 'id': 32051864}, {'src': 'hda', 'id': 32051867}]",hg19,,cached,1,"[{'src': 'hda', 'id': 32051868}]",,,,limit_by_target_file,,,,41731305,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-11-03 21:17:19.300846,105144,467.88754400000005
