create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_query,input_query_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.stampede_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.evalue_cutoff,parameters.filter_query,parameters.iden_cutoff,parameters.input_query,parameters.source_select,parameters.word_size,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-07 18:12:28.962621,slurm_multi,,main_w2_handler2,922305,9161622,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14869812,fasta,3443627,slurm,,corral-repl,,,,,"""a504ad7add5111e48940005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""80.0""",19178360,"""17apr2014-nt""","""16""",,21849703,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-04-08 12:59:28.963935,20852.0,67620.00131400001
2015-03-11 14:56:30.579310,roundup_multi,,main_w2_handler2,2233143,8916998,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2098972668,fasta,3109649,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""","""0.001""","""yes""","""90.0""",18806969,"""13apr2014-htgs""","""28""",,21723169,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-03-12 03:09:07.759069,22647.0,43957.179759000006
2015-04-07 18:13:10.808894,slurm_multi,,main_w2_handler2,922305,9161641,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14915035,fasta,3443648,slurm,,corral-repl,,,,,"""bc84f234dd5111e4b4c5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""80.0""",19178387,"""17apr2014-nt""","""16""",,21849703,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-04-08 15:00:01.232286,20852.0,74810.42339200001
2014-12-18 17:52:51.544715,roundup_multi,,main_w2_handler2,2152374,8440948,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25571282,fasta,2343815,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",18024241,"""17apr2014-nt""","""16""",,20103525,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2014-12-19 04:39:44.639358,44228.0,38813.094643000004
2015-04-06 21:28:09.308136,slurm_multi,,main_w2_handler2,922305,9152600,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14915035,fasta,3435281,slurm,,corral-repl,,,,,"""d11a05e4dca311e496e5005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""80.0""",19164454,"""17apr2014-nt""","""16""",,21849703,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-04-07 14:19:04.601081,20852.0,60655.292945
2015-03-10 17:43:07.215827,roundup_multi,,main_w2_handler2,2233143,8910127,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2098972668,fasta,3095237,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""","""0.001""","""yes""","""90.0""",18806969,"""13apr2014-htgs""","""28""",,21696420,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-03-11 05:58:50.370288,,44143.154461000006
2015-04-28 08:32:13.036311,slurm_multi,,main_w2_handler2,2285647,9348213,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",195799527,fasta,3684651,slurm,,corral-repl,,0.0,no,,"""0cc99eb8ed8111e4a433005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""1e-05""","""yes""","""95.0""",19490851,"""17apr2014-nt""","""28""",,21852231,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-04-28 10:55:32.648384,56818.0,8599.612073
2015-03-01 23:54:31.677852,roundup_multi,,main_w2_handler2,2223738,8838288,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5259596,fasta,2963542,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""no""","""80.0""",18689646,"""17apr2014-nt""","""16""",,21525266,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-03-02 07:35:23.226916,,27651.549064000003
2015-03-02 12:05:27.877956,roundup_multi,,main_w2_handler2,2175708,8840623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",816601731,fasta,2968139,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.01""","""yes""","""90.0""",18692811,"""13apr2014-htgs""","""16""",,20521605,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-03-02 13:33:17.526638,,5269.648682
2015-10-15 17:44:45.586024,reserved_multi,,main_w2_handler2,2473117,10586576,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",51663226,fasta,4856180.roundup,slurm,,corral-repl,,1.0,yes,pulsar_stampede_normal,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.001""","""yes""","""95.0""",21541315,"""17apr2014-nt""","""28""",,25710763,error,toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0,1.2.0,,2015-10-15 21:50:02.331917,5254.0,14716.745893000001
