chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.adv_optional_id_files_opts_selector,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.filter_query,parameters.adv_opts.identity_cutoff,parameters.adv_opts.max_hits,parameters.adv_opts.max_hsps,parameters.adv_opts.parse_deflines,parameters.adv_opts.qcov_hsp_perc,parameters.adv_opts.strand,parameters.adv_opts.ungapped,parameters.adv_opts.word_size,parameters.blast_type,parameters.chromInfo,parameters.db_opts.__current_case__,parameters.db_opts.database,parameters.db_opts.db_opts_selector,parameters.db_opts.histdb,parameters.db_opts.subject,parameters.db_opts.subject.values,parameters.dbkey,parameters.evalue_cutoff,parameters.output.__current_case__,parameters.output.out_format,parameters.query.values,query,query_filetype,runner_name,session_id,state,subject,subject_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-22 22:15:27.244511,slurm_normal,,main_w3_handler1,2036840,18489910,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12586271,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34022998}]",213980,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 00:23:16.224332,52619.0,7668.979821000001
,,2018-03-05 21:09:43.997715,slurm_normal,,main_w3_handler0,3452449,18615412,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12711300,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34224960}]",57,fasta,,44354898,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-05 21:11:09.839936,123336.0,85.84222100000001
,,2018-02-25 20:09:03.214844,slurm_normal,,main_w3_handler1,3441978,18514593,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12610688,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,['17apr2014-nt'],db,,,,"""?""","""0.001""",,,"[{'src': 'hda', 'id': 34059581}]",14557021,fasta,,44155438,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-26 06:12:27.943631,104632.0,36204.728787
,,2018-02-23 02:53:53.493096,slurm_normal,,main_w4_handler1,2036840,18492170,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588227,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023013}]",6572,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:41:39.696350,52619.0,10066.203254
,,2018-02-23 02:53:53.203361,slurm_normal,,main_w3_handler1,2036840,18492168,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588396,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34022998}]",213980,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 07:04:29.990843,52619.0,15036.787482000002
,,2018-03-09 17:14:08.277097,slurm_normal,,main_w4_handler0,3458606,18674436,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12770650,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,['17apr2014-nt'],db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34327266}]",5300,fasta,,44518091,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-09 17:14:47.617665,,39.340568000000005
,,2018-02-22 22:15:28.510291,slurm_normal,,main_w3_handler0,2036840,18489912,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585281,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023013}]",6572,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-22 22:25:24.180015,52619.0,595.6697240000001
,,2018-03-02 10:31:37.619834,slurm_normal,,main_w4_handler1,3394299,18578642,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12673136,slurm,,corral-repl,,1,0.0,none,advanced,true,0.0,0,10,false,0.0,-strand both,false,0,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",3.0,5,"[{'src': 'hda', 'id': 34166615}]",18804613,fasta,,44285603,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-02 12:48:35.170762,118608.0,8217.550928
,,2018-02-22 22:15:29.599626,slurm_normal,,main_w4_handler1,2036840,18489914,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585188,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023023}]",1629,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-22 22:17:53.624184,52619.0,144.024558
,,2018-02-28 12:17:56.143968,slurm_normal,,main_w3_handler1,3445821,18546995,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12643763,slurm,,corral-repl,,1,0.0,none,advanced,true,0.0,0,,false,0.0,-strand both,false,11,"""dc-megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,['17apr2014-nt'],db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34111448}]",4530593,fasta,,42540495,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-28 12:29:07.228303,109075.0,671.084335
