chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-13 04:13:17.615207,slurm_normal_16gb,,main_w1_handler1,2268116,9211883,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",580544554,bam,3494872.roundup,slurm,,corral-repl,,"""658fbcace19311e4b0b3005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",19257031,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,22295940,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-04-13 05:55:14.573878,61972.0,6116.958671
,,2015-08-23 13:46:52.138374,slurm_normal_16gb,,main_w1_handler0,2416276,10178891,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1066485656,bam,4450473.roundup,slurm,,corral-repl,,"""5f7a0dc8499d11e59701005056a51846""","""True""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""",[],"""dm6_iso_all""","""SUM_OF_BASE_QUALITIES""",20873386,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,24737192,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-08-23 17:54:32.333768,58185.0,14860.195394
,,2015-08-23 13:46:26.972697,slurm_normal_16gb,,main_w2_handler1,2416276,10178865,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",984490699,bam,4448992.roundup,slurm,,corral-repl,,"""4efdcca0499d11e59701005056a51846""","""True""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""",[],"""dm6_iso_all""","""SUM_OF_BASE_QUALITIES""",20873357,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,24737192,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-08-23 14:47:35.234147,58185.0,3668.2614500000004
,,2015-12-06 07:28:12.495170,slurm_normal_16gb,,main_w1_handler0,2529890,11102210,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",253344148,bam,5363426.roundup,slurm,,corral-repl,,"""bb6398269bea11e594e9005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/mm9.len""","[{""comment"": ""SNP Output 2.3"", ""__index__"": 0}]","""mm9""","""SUM_OF_BASE_QUALITIES""",22325985,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26611606,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-06 12:21:55.718869,74340.0,17623.223699000002
,,2016-07-08 17:06:49.411981,slurm_normal_16gb,,main_w1_handler1,2760738,13363296,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2957318987,bam,7573142.roundup,slurm,,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57641301990fea799'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""LENIENT""",,31342926,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-07-08 17:13:28.389719,64236.0,398.97773800000004
,,2015-12-10 20:03:59.368097,slurm_normal_16gb,,main_w1_handler1,2532596,11144663,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",587412065,bam,5414149.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",22375728,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26669533,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-10 21:10:37.649021,61539.0,3998.280924
,,2016-02-05 05:53:13.053243,slurm_normal_16gb,,main_w2_handler1,2588232,11715571,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1963619039,bam,5973355.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": """", ""__index__"": 0}]","""hg38""","""SUM_OF_BASE_QUALITIES""",23192839,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,28091241,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-02-05 06:00:07.535219,71249.0,414.48197600000003
,,2015-10-26 19:15:54.374830,slurm_normal_16gb,,main_w1_handler1,2480157,10739312,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5983621290,bam,4999141.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",21722049,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,25863467,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-10-26 19:23:06.072467,71883.0,431.69763700000004
,,2015-09-07 16:07:47.163507,slurm_normal_16gb,,main_w1_handler1,2421467,10271802,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1122821988,bam,4558078.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",21012299,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,24879779,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-09-07 16:28:03.894532,68270.0,1216.731025
,,2016-02-03 17:33:33.579125,slurm_normal_16gb,,main_w1_handler1,2421265,11703419,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1110955526,bam,5958795.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",23170770,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,27353395,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-02-03 17:40:31.947161,68004.0,418.368036
