create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.output_unmapped,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model.values,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.raw_juncs.values,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.input1.values,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,params|own_junctions|gene_annotation_model,params|own_junctions|gene_annotation_model_filetype,params|own_junctions|raw_juncs,params|own_junctions|raw_juncs_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-30 09:31:27.043659,slurm_multi_dynamic_walltime,,main_w4_handler2,3217304,16691482,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1627473027,fastqsanger,,,10763594,slurm,,corral-repl,13725373601.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 30986129}]",0,"[{'src': 'hda', 'id': 31030537}]",,,,,single,,,,,,39876560.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-08-30 09:45:30.884936,109841,843.8412770000001
2018-02-05 03:46:39.641141,slurm_multi,,main_w3_handler2,3416556,18254423,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15968129395,fastqsanger,15968129395.0,fastqsanger,12341123,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,oryCun1,,1,"[{'src': 'hda', 'id': 33662472}]","[{'src': 'hda', 'id': 33662471}]",300,20,Yes,paired,,,,,,43673676.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2018-02-06 03:55:48.450912,121295,86948.809771
2017-12-10 15:43:48.950236,slurm_multi,,main_w4_handler2,3334436,17764697,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15968129395,fastqsanger,15968129395.0,fastqsanger,11833376,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,1,"[{'src': 'hda', 'id': 32460309}]","[{'src': 'hda', 'id': 32460310}]",300,20,Yes,paired,,,,,,42556931.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-12-10 22:44:19.119625,116860,25230.169389000002
2017-12-11 14:30:15.879518,slurm_multi,,main_w3_handler2,3334436,17773148,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15778870283,fastqsanger,15778870283.0,fastqsanger,11841970,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,1,"[{'src': 'hda', 'id': 32460304}]","[{'src': 'hda', 'id': 32460307}]",300,20,Yes,paired,,,,,,42556931.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-12-12 00:56:50.326830,116860,37594.447312000004
2017-07-24 11:14:03.752275,slurm_multi_dynamic_walltime,,main_w4_handler2,3197496,16404154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",39634961357,fastqsanger,,,10468534,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,0,"[{'src': 'hda', 'id': 30552566}]",,,,,single,,,,,,39426862.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-07-24 13:57:52.327635,83916,9828.57536
2017-08-01 13:22:46.456674,slurm_multi_dynamic_walltime,,main_w4_handler2,3063655,16477917,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",42189257843,fastqsanger,42189257843.0,fastqsanger,10546299,slurm,,corral-repl,475518.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,3000,4,3000,Yes,30,30,false,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,1,history,,"[{'src': 'hda', 'id': 30711850}]",1,"[{'src': 'hda', 'id': 29378660}]","[{'src': 'hda', 'id': 29378659}]",300,20,No,paired,,,,,,37753915.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-08-02 00:14:02.409093,103350,39075.952419
2016-08-09 15:38:55.896241,slurm_multi_dynamic_walltime,,main_w1_handler2,2683278,13630701,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",47799942,fastqsanger,,,7844147,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56c2dd5fb76cc165d'}]",,,,,single,,,,,,30406296.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-08-09 16:04:28.465780,38221,1532.569539
2016-07-14 23:12:35.945032,slurm_multi_dynamic_walltime,,main_w2_handler2,2763523,13415322,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13613464376,fastqsanger,,,7627411,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,false,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5506a7202dd607f89'}]",,,,,single,,,,,,31161390.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-07-15 05:20:08.384983,80162,22052.439951
2017-12-11 19:03:18.425091,slurm_multi,,main_w3_handler2,3334436,17775450,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15968129395,fastqsanger,15968129395.0,fastqsanger,11846731,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,1,"[{'src': 'hda', 'id': 32460309}]","[{'src': 'hda', 'id': 32460310}]",300,20,Yes,paired,,,,,,42556931.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-12-12 07:52:18.364861,116860,46139.939770000005
2017-02-06 21:27:01.998631,slurm_multi_dynamic_walltime,,main_w4_handler2,2984241,14964752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13390923045,fastqsanger,13390923045.0,fastqsanger,9122415,slurm,,corral-repl,184563953.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 28232618}]",1,"[{'src': 'hda', 'id': 28232560}]","[{'src': 'hda', 'id': 28232561}]",120,20,Yes,paired,,,,,,35849146.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-02-07 01:37:47.495609,96255,15045.496978000001
