create_time,destination_id,exit_code,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,handler,history_id,id,imported,info,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_recal,input_recal_filetype,input_tranches,input_tranches_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.ignore_filters,parameters.mode,parameters.reference_source.__current_case__,parameters.reference_source.input_recal,parameters.reference_source.input_recal.values,parameters.reference_source.input_tranches,parameters.reference_source.input_tranches.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.reference_source.variants,parameters.ts_filter_level,ref_file,ref_file_filetype,reference_source|variants_0|input_variants,reference_source|variants_0|input_variants_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,variants_0|input_variants,variants_0|input_variants_filetype,runtime
2015-10-19 10:29:21.978836,slurm_normal,,,,main_w2_handler1,2474137,10637609,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20364436.0,bed,3631723,gatk_recal,572,gatk_tranche,4918163.roundup,slurm,,corral-repl,,"""1d5e4630764c11e59f80005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 21612102, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,21612122.0,,21612123.0,,21559295.0,,history,"[{'__index__': 0, 'input_variants': 21612119}]","""99.0""",3199905909,fasta,,,,25770385,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-10-20 10:38:54.686361,65622,30525034.0,vcf,86972.707525
2016-07-14 07:27:47.692893,slurm_normal,,20364436.0,bed,main_w2_handler0,2762593,13407239,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3732563,gatk_recal,574,gatk_tranche,7619177.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52c970265c692cf8f'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,[],"""BOTH""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b571f822c3c48f9524'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b67bfffdb715e7b5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4c569ffd426680e'}]",history,"[{'__index__': 0, 'input_variants': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5148ffd21960bf4e2'}]}}]","""99.0""",3199905909,fasta,45775677.0,vcf,,31394434,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2016-07-14 07:31:05.512619,73593,,,197.819726
2015-10-12 11:00:07.278416,slurm_normal,,,,main_w2_handler1,2460966,10547167,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1759877.0,bed,749481,gatk_recal,561,gatk_tranche,4820658.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 21415599, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,21480745.0,,21480746.0,,21415589.0,,history,"[{'__index__': 0, 'input_variants': 21479401}]","""99.0""",3199905909,fasta,,,,25509094,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-10-12 11:03:16.545548,59391,3839226.0,vcf,189.267132
2015-12-01 20:02:20.416250,slurm_normal,,,,main_w1_handler1,2524278,11056962,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20364436.0,bed,3918479,gatk_recal,571,gatk_tranche,5326894.roundup,slurm,,corral-repl,,"""368902d0986611e594d9005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 22241984, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,22242004.0,,22242005.0,,22241618.0,,history,"[{'__index__': 0, 'input_variants': 22242001}]","""99.0""",3199905909,fasta,,,,26523377,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-12-03 07:23:41.474947,65622,33881344.0,vcf,127281.05869700001
2015-10-12 10:48:22.801838,slurm_normal,,,,main_w2_handler0,2460966,10547126,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1759877.0,bed,749481,gatk_recal,561,gatk_tranche,4820606.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 21415599, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,21480745.0,,21480746.0,,21415589.0,,history,"[{'__index__': 0, 'input_variants': 21479401}]","""99.0""",3199905909,fasta,,,,25509094,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-10-12 10:50:48.405978,59391,3839226.0,vcf,145.60414
2015-10-20 12:08:42.936325,slurm_normal,,,,main_w2_handler0,2474137,10653102,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20364436.0,bed,3631723,gatk_recal,572,gatk_tranche,4919083.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 21612102, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,21612122.0,,21612123.0,,21559295.0,,history,"[{'__index__': 0, 'input_variants': 21612119}]","""99.0""",3199905909,fasta,,,,25789738,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-10-20 12:12:30.931284,65622,30525034.0,vcf,227.99495900000002
2016-07-15 09:40:36.855202,slurm_normal,,20364436.0,bed,main_w2_handler1,2762593,13418613,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3186062,gatk_recal,574,gatk_tranche,7631153.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52c970265c692cf8f'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,[],"""SNP""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e926892c891097b9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c21de5ef7848728'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4c569ffd426680e'}]",history,"[{'__index__': 0, 'input_variants': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5a888731964f3a039'}]}}]","""99.0""",3199905909,fasta,41568702.0,vcf,,31394434,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2016-07-15 09:44:21.929892,73593,,,225.07469
2016-07-13 17:20:38.209225,slurm_normal,,20364436.0,bed,main_w2_handler1,2762593,13397886,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3732563,gatk_recal,574,gatk_tranche,7609852.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52c970265c692cf8f'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,[],"""BOTH""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b571f822c3c48f9524'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b67bfffdb715e7b5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4c569ffd426680e'}]",history,"[{'__index__': 0, 'input_variants': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5148ffd21960bf4e2'}]}}]","""99.0""",3199905909,fasta,45775677.0,vcf,,31450937,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2016-07-13 17:24:39.366141,73593,,,241.15691600000002
2015-11-29 19:46:56.808943,slurm_normal,,,,main_w2_handler0,2509363,11038091,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20364436.0,bed,5174591,gatk_recal,584,gatk_tranche,5304183.roundup,slurm,,corral-repl,,"""e1590da496d111e5a3ad005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0,NONE,advanced,[],"[{'input_intervals': 22211527, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,[],"""BOTH""",1,22211545.0,,22211546.0,,22154568.0,,history,"[{'__index__': 0, 'input_variants': 22211542}]","""99.0""",3199905909,fasta,,,,26485452,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2015-12-01 02:04:23.500085,73593,33920674.0,vcf,109046.69114200001
2016-07-15 12:34:51.179679,slurm_normal,,20364436.0,bed,main_w1_handler0,2762593,13419221,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,3186062,gatk_recal,574,gatk_tranche,7631881.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52c970265c692cf8f'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,[],"""SNP""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e926892c891097b9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c21de5ef7848728'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4c569ffd426680e'}]",history,"[{'__index__': 0, 'input_variants': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5a888731964f3a039'}]}}]","""99.0""",3199905909,fasta,41568702.0,vcf,,31498961,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_apply_recalibration/gatk_variant_apply_recalibration/0.0.4,0.0.4,,2016-07-15 12:38:15.914263,73593,,,204.734584
