create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.col_max,parameters.col_min,parameters.dbkey,parameters.dendrogram,parameters.header,parameters.input,parameters.main,parameters.na_remove,parameters.scale,parameters.var_cols,parameters.xlab,parameters.ylab,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-10 16:39:27.136741,slurm_normal,,main_w1_handler2,2212251,11141411,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1079599728,tabular,5410324.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""7""","""4""","""hg19""","""none""","""yes""",20986388,"""""","""yes""","""none""","[""2"", ""3"", ""4"", ""6"", ""7""]","""""","""""",,26494136,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-12-10 16:59:10.238599,48028,1183.101858
2015-06-03 10:45:46.233597,slurm_normal,,main_w2_handler1,2314442,9588875,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1525983,tabular,3900982.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""7""","""4""","""mm9""","""both""","""no""",19899109,"""TF ChIP peak heat map""","""yes""","""none""","[""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]","""""","""""",,23219052,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-06-03 10:48:43.558008,63899,177.324411
2015-09-01 02:48:40.765256,slurm_normal,,main_w1_handler1,1166305,10234002,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1737675,tabular,4512338.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""2""","""3""","""?""","""both""","""yes""",20797668,"""heat1""","""yes""","""column""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","""time""","""""",,24711301,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-09-01 02:51:40.333599,27382,179.568343
2015-08-17 01:05:44.335273,slurm_normal,,main_w1_handler2,1309910,10130481,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7543636,tabular,4402590.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""4""","""?""","""both""","""yes""",20794355,"""""","""yes""","""column""","[""26"", ""27"", ""28""]","""""","""""",,24134032,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-08-17 01:08:22.659214,27375,158.32394100000002
2015-10-14 19:48:15.107848,slurm_normal,,main_w1_handler0,1945227,10574438,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1686643,tabular,4845289.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""2""","""?""","""both""","""yes""",21521080,"""""","""yes""","""column""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7""]","""""","""""",,25686674,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-10-14 19:57:55.754093,50245,580.646245
2015-10-14 20:42:31.373230,slurm_normal,,main_w1_handler2,1945227,10574793,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2255741,tabular,4845654.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""2""","""?""","""both""","""no""",21521661,"""""","""yes""","""column""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7""]","""""","""""",,25686674,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-10-14 20:49:55.940572,50245,444.56734200000005
2015-09-01 02:58:28.239512,slurm_normal,,main_w1_handler0,1166305,10234020,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1737675,tabular,4512401.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""4""","""?""","""row""","""yes""",20797668,"""""","""yes""","""none""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","""""","""""",,24711301,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-09-01 02:59:50.651079,27382,82.411567
2015-09-01 04:37:42.638636,slurm_normal,,main_w2_handler0,1166305,10234375,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3048792,tabular,4512982.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""4""","""?""","""row""","""yes""",20795399,"""""","""yes""","""row""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","""""","""""",,24711301,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-09-01 04:42:20.046851,27382,277.40821500000004
2015-09-21 12:10:00.028824,slurm_normal,,main_w1_handler0,2192694,10372390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5921834,tabular,4653454.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn5.len""","""2""","""3""","""rn5""","""both""","""yes""",21164322,"""1""","""yes""","""none""","[""8"", ""9""]","""sample""","""gene""",,24339410,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-09-21 12:11:59.943506,59072,119.91468200000001
2015-06-28 18:48:45.081789,slurm_normal,,main_w2_handler0,2358333,9754765,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4518406,tabular,4058123.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""2""","""4""","""hg38""","""both""","""yes""",20168287,"""Heatmap of Brain-Cerebellum from RSEM genes""","""yes""","""column""","[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23""]","""samples""","""FPKM""",,23664247,error,toolshed.g2.bx.psu.edu/repos/guru-ananda/heatmap/heatmap_1/1.0.0,1.0.0,,2015-06-28 18:52:34.944012,61869,229.862223
