chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.count,parameters.dbkey,parameters.fraction,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.invert,parameters.once,parameters.overlap_mode,parameters.reciprocal,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-29 13:39:36.336954,slurm_normal,,main_w4_handler0,2978162,15424193,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6587300732,bed,7880880904,7880880904,bed,,,,,,,bed,9556486.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""""","""false""","[{'src': 'hda', 'id': 28969273}]","[{'src': 'hda', 'id': 28969272}]","""false""","""false""","[""-wa""]","""false""","""false""","""-s""",,35186312,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-03-29 13:40:29.181570,79460.0,52.844616
,,2016-09-07 22:18:17.578752,slurm_normal,,main_w3_handler1,2799332,13801874,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1118349107,bed,1118349107,1118349107,bed,,,,,,,bed,8022343.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52ca624a4ea46ae0a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52ca624a4ea46ae0a'}]","""true""","""false""","[""-wa""]","""false""","""false""","""""",,32746960,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2016-09-07 22:19:37.418964,88883.0,79.84021200000001
,,2017-03-29 14:39:09.410020,slurm_normal,,main_w4_handler1,2978162,15424716,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7880880904,bed,6587300732,6587300732,bed,,,,,,,bed,9557087.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""""","""false""","[{'src': 'hda', 'id': 28969272}]","[{'src': 'hda', 'id': 28969273}]","""false""","""true""","[""-wa""]","""false""","""false""","""""",,35186312,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-03-29 14:39:44.372904,79460.0,34.962884
20.0,len,2017-02-11 23:11:09.744149,slurm_normal,,main_w3_handler0,2990943,15013662,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14829,gff,196103219,196103219,bam,,,,,,,bam,9170082.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/798/dataset_18798652.dat""","""false""","""?""","""""","""false""","[{'src': 'hda', 'id': 28309851}]","[{'src': 'hda', 'id': 28306906}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,35972768,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-02-11 23:11:44.603796,99889.0,34.859647
,,2016-09-18 23:14:44.450106,slurm_normal,,main_w4_handler1,2348219,13877626,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3435729,bed,736022884,736022884,bed,,,,,,,bed,8100901.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5110aaeea6734e3eb'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5221d1c74e5fcca26'}]","""false""","""false""","[""-loj""]","""false""","""false""","""""",,32998283,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2016-09-18 23:15:58.902459,48109.0,74.452353
,,2017-02-09 03:09:15.378300,slurm_normal,,main_w4_handler1,2968694,14991431,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",306398,bed,6158235822,6158235822,bed,,,,,,,bed,9148371.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 28275494}]","[{'src': 'hda', 'id': 28273165}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,35594520,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-02-09 03:09:50.491137,91416.0,35.112837
,,2016-09-18 23:12:58.382306,slurm_normal,,main_w3_handler0,2348219,13877623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3435729,bed,736022884,736022884,bed,,,,,,,bed,8100898.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5110aaeea6734e3eb'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5221d1c74e5fcca26'}]","""false""","""false""","[""-loj""]","""false""","""false""","""""",,32998283,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2016-09-18 23:14:14.334274,48109.0,75.95196800000001
,,2017-02-09 05:52:37.265580,slurm_normal,,main_w4_handler0,2968694,14992069,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",306398,bed,6158235822,6158235822,bed,,,,,,,bed,9148936.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 28276530}]","[{'src': 'hda', 'id': 28273165}]","""false""","""false""","[""-wo""]","""false""","""false""","""""",,35781508,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-02-09 05:53:13.706669,91416.0,36.441089000000005
,,2016-12-09 18:36:22.282181,slurm_normal,,main_w4_handler0,2920653,14533526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1958745408,bed,1554214979,1554214979,bed,,,,,,,bed,8716280.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 27519444}]","[{'src': 'hda', 'id': 27519373}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,34725529,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2016-12-09 18:36:58.595825,64824.0,36.313644000000004
,,2017-02-09 20:29:53.557640,slurm_normal,,main_w3_handler0,2965479,14998078,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9465029,bed,2993229843,2993229843,bed,,,,,,,bed,9153903.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 28144686}]","[{'src': 'hda', 'id': 28281375}]","""false""","""false""","[""-wb""]","""false""","""false""","""-s""",,35281812,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.24.0,2.24.0,,2017-02-09 20:35:31.581901,97829.0,338.024261
