create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.genome.__current_case__,parameters.genome.genome_choose,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-13 20:20:52.825660,slurm_normal,,main_w3_handler0,3009576,15285250,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5252258677,bam,9429170.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505169}]","""5e-08""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:22:59.792774,100453,126.96711400000001
2017-03-13 19:59:42.492694,slurm_normal,,main_w4_handler1,3009576,15285111,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5037817254,bam,9429085.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505164}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:11:10.998830,100453,688.5061360000001
2017-03-13 19:59:39.655835,slurm_normal,,main_w4_handler0,3009576,15285107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,4970969512,bam,9429045.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505149}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:04:39.832272,100453,300.176437
2017-03-13 19:59:33.955410,slurm_normal,,main_w4_handler0,3009576,15285099,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,4961847986,bam,9429029.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505136}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:01:50.106100,100453,136.15069
2017-03-13 19:59:41.904469,slurm_normal,,main_w4_handler0,3009576,15285110,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5431906869,bam,9429076.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505156}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:10:56.212201,100453,674.307732
2017-03-13 21:02:31.908468,slurm_normal,,main_w3_handler1,3009576,15285569,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1638,bed,5252258677,bam,9429405.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28742493}]","[{'src': 'hda', 'id': 28505169}]","""5e-08""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 21:04:39.952037,100453,128.04356900000002
2017-03-13 19:59:39.130639,slurm_normal,,main_w3_handler1,3009576,15285106,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,4990947715,bam,9429042.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505146}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:03:48.713288,100453,249.582649
2017-03-13 19:59:33.357963,slurm_normal,,main_w4_handler1,3009576,15285098,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5057388021,bam,9429043.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505134}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:04:05.437374,100453,272.079411
2017-03-13 19:59:43.074686,slurm_normal,,main_w3_handler0,3009576,15285112,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5252258677,bam,9429059.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505169}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:06:45.490488,100453,422.41580200000004
2017-03-13 19:59:41.161928,slurm_normal,,main_w4_handler0,3009576,15285109,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,4967885060,bam,9429065.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505151}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:07:27.181325,100453,466.019397
2017-03-13 21:05:26.507413,slurm_normal,,main_w3_handler0,3009576,15285577,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1638,bed,5252258677,bam,9429419.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28742493}]","[{'src': 'hda', 'id': 28505169}]","""5e-07""","""false""","""false""","""-s""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 21:07:33.406161,100453,126.89874800000001
2017-03-13 19:59:36.526404,slurm_normal,,main_w4_handler1,3009576,15285103,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,4925531064,bam,9429084.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505141}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:11:08.800613,100453,692.274209
2017-03-13 19:59:32.699186,slurm_normal,,main_w4_handler0,3009576,15285097,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5509719463,bam,9429028.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505133}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:01:49.679556,100453,136.98037000000002
2017-03-13 19:59:40.289393,slurm_normal,,main_w4_handler0,3009576,15285108,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5438364071,bam,9429061.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505150}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:07:25.591228,100453,465.30183500000004
2017-03-13 19:59:38.188849,slurm_normal,,main_w3_handler0,3009576,15285105,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5162388152,bam,9429055.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505143}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:06:17.534490,100453,399.345641
2017-03-13 19:59:35.133638,slurm_normal,,main_w3_handler0,3009576,15285101,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2163,gff,5251469265,bam,9429026.roundup,slurm,,corral-repl,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 28741894}]","[{'src': 'hda', 'id': 28505138}]","""1e-09""","""false""","""false""","""""",,36250985,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2017-03-13 20:01:42.921858,100453,127.78822000000001
