create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_tabular,input_tabular1,input_tabular10,input_tabular10_filetype,input_tabular11,input_tabular11_filetype,input_tabular12,input_tabular12_filetype,input_tabular13,input_tabular13_filetype,input_tabular14,input_tabular14_filetype,input_tabular15,input_tabular15_filetype,input_tabular16,input_tabular16_filetype,input_tabular17,input_tabular17_filetype,input_tabular18,input_tabular18_filetype,input_tabular19,input_tabular19_filetype,input_tabular1_filetype,input_tabular2,input_tabular20,input_tabular20_filetype,input_tabular21,input_tabular21_filetype,input_tabular22,input_tabular22_filetype,input_tabular23,input_tabular23_filetype,input_tabular24,input_tabular24_filetype,input_tabular25,input_tabular25_filetype,input_tabular26,input_tabular26_filetype,input_tabular27,input_tabular27_filetype,input_tabular28,input_tabular28_filetype,input_tabular29,input_tabular29_filetype,input_tabular2_filetype,input_tabular3,input_tabular30,input_tabular30_filetype,input_tabular31,input_tabular31_filetype,input_tabular32,input_tabular32_filetype,input_tabular33,input_tabular33_filetype,input_tabular34,input_tabular34_filetype,input_tabular35,input_tabular35_filetype,input_tabular36,input_tabular36_filetype,input_tabular37,input_tabular37_filetype,input_tabular38,input_tabular38_filetype,input_tabular39,input_tabular39_filetype,input_tabular3_filetype,input_tabular4,input_tabular40,input_tabular40_filetype,input_tabular41,input_tabular41_filetype,input_tabular42,input_tabular42_filetype,input_tabular43,input_tabular43_filetype,input_tabular44,input_tabular44_filetype,input_tabular4_filetype,input_tabular5,input_tabular5_filetype,input_tabular6,input_tabular6_filetype,input_tabular7,input_tabular7_filetype,input_tabular8,input_tabular8_filetype,input_tabular9,input_tabular9_filetype,input_tabular_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fill_char,parameters.has_header,parameters.identifier_column,parameters.input_tabular.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-02 04:07:06.035276,slurm_normal,,main_w3_handler0,3045692,15459951,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2126655,2126655,2144455.0,tabular,2145211.0,tabular,2132020.0,tabular,,,,,,,,,,,,,,,tabular,2136546,,,,,,,,,,,,,,,,,,,,,tabular,2125851,,,,,,,,,,,,,,,,,,,,,tabular,2129396.0,,,,,,,,,,,tabular,2133824.0,tabular,2131425.0,tabular,2131769.0,tabular,2132228.0,tabular,2131614.0,tabular,tabular,9590495.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""","""1""","""1""","[{'src': 'hda', 'id': 28955196}, {'src': 'hda', 'id': 28955201}, {'src': 'hda', 'id': 28955206}, {'src': 'hda', 'id': 28955212}, {'src': 'hda', 'id': 28955217}, {'src': 'hda', 'id': 28955222}, {'src': 'hda', 'id': 28955227}, {'src': 'hda', 'id': 28955232}, {'src': 'hda', 'id': 28955242}, {'src': 'hda', 'id': 28955247}, {'src': 'hda', 'id': 28955252}, {'src': 'hda', 'id': 28959987}]",,37044896,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-04-02 04:14:55.402173,102389.0,469.36689700000005
2017-04-02 03:54:45.606445,slurm_normal,,main_w3_handler1,3045692,15459905,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2126655,2126655,2144455.0,tabular,2145211.0,tabular,2132020.0,tabular,,,,,,,,,,,,,,,tabular,2136546,,,,,,,,,,,,,,,,,,,,,tabular,2125851,,,,,,,,,,,,,,,,,,,,,tabular,2129396.0,,,,,,,,,,,tabular,2133824.0,tabular,2131425.0,tabular,2131769.0,tabular,2132228.0,tabular,2131614.0,tabular,tabular,9590411.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",""".""","""1""","""1""","[{'src': 'hda', 'id': 28955196}, {'src': 'hda', 'id': 28955201}, {'src': 'hda', 'id': 28955206}, {'src': 'hda', 'id': 28955212}, {'src': 'hda', 'id': 28955217}, {'src': 'hda', 'id': 28955222}, {'src': 'hda', 'id': 28955227}, {'src': 'hda', 'id': 28955232}, {'src': 'hda', 'id': 28955242}, {'src': 'hda', 'id': 28955247}, {'src': 'hda', 'id': 28955252}, {'src': 'hda', 'id': 28959987}]",,37044896,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-04-02 04:02:52.402743,102389.0,486.79629800000004
2017-07-12 03:36:13.311086,slurm_normal,,main_w4_handler1,3189312,16316511,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",126318,126318,126321.0,tabular,126321.0,tabular,,,,,,,,,,,,,,,,,tabular,126322,,,,,,,,,,,,,,,,,,,,,tabular,126320,,,,,,,,,,,,,,,,,,,,,tabular,126319.0,,,,,,,,,,,tabular,126324.0,tabular,126320.0,tabular,126321.0,tabular,126326.0,tabular,126321.0,tabular,tabular,10383453.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",""".""","""0""","""1""","[{'src': 'hda', 'id': 30391008}, {'src': 'hda', 'id': 30391009}, {'src': 'hda', 'id': 30391011}, {'src': 'hda', 'id': 30391012}, {'src': 'hda', 'id': 30391013}, {'src': 'hda', 'id': 30391014}, {'src': 'hda', 'id': 30391015}, {'src': 'hda', 'id': 30391016}, {'src': 'hda', 'id': 30391017}, {'src': 'hda', 'id': 30391019}, {'src': 'hda', 'id': 30391020}]",,38796682,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-07-12 03:41:00.721035,100177.0,287.40994900000004
2017-08-31 13:38:54.208301,slurm_normal,,main_w3_handler1,3217414,16702888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",287771,287771,,,,,,,,,,,,,,,,,,,,,gtf,285121,,,,,,,,,,,,,,,,,,,,,gtf,287285,,,,,,,,,,,,,,,,,,,,,gtf,286479.0,,,,,,,,,,,gtf,283409.0,gtf,285327.0,gtf,283971.0,gtf,283789.0,gtf,,,gtf,10775533.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",""".""","""0""","""1""","[{'src': 'hda', 'id': 31059214}, {'src': 'hda', 'id': 31059219}, {'src': 'hda', 'id': 31059224}, {'src': 'hda', 'id': 31059229}, {'src': 'hda', 'id': 31059234}, {'src': 'hda', 'id': 31059239}, {'src': 'hda', 'id': 31059244}, {'src': 'hda', 'id': 31059249}]",,39874217,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-08-31 13:45:08.628776,109973.0,374.420475
2017-07-14 21:39:00.468391,slurm_normal,,main_w3_handler0,3155372,16349038,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3132617,3132617,3439392.0,tabular,3460388.0,tabular,3108907.0,tabular,3647195.0,tabular,3108987.0,tabular,3768358.0,tabular,2916352.0,tabular,3016043.0,tabular,3157901.0,tabular,3287679.0,tabular,tabular,3293161,3391316.0,tabular,3164519.0,tabular,3440265.0,tabular,3213758.0,tabular,3097596.0,tabular,2939021.0,tabular,3611825.0,tabular,3078282.0,tabular,3251883.0,tabular,3262909.0,tabular,tabular,3115708,3153063.0,tabular,3189640.0,tabular,3216103.0,tabular,3313939.0,tabular,3212209.0,tabular,3078400.0,tabular,3083180.0,tabular,3301414.0,tabular,3234209.0,tabular,3294398.0,tabular,tabular,3750388.0,3166802.0,tabular,3408234.0,tabular,3552144.0,tabular,3194957.0,tabular,4723118.0,tabular,tabular,3359432.0,tabular,3258298.0,tabular,3324844.0,tabular,3643293.0,tabular,3507860.0,tabular,tabular,10414443.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",""".""","""1""","""1""","[{'src': 'hdca', 'id': 62501}]",,38663959,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-07-14 21:39:43.929840,95382.0,43.461449
2017-07-14 21:30:39.422338,slurm_normal,,main_w4_handler1,3155372,16348957,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3132617,3132617,3439392.0,tabular,3460388.0,tabular,3108907.0,tabular,3647195.0,tabular,3108987.0,tabular,3768358.0,tabular,2916352.0,tabular,3016043.0,tabular,3157901.0,tabular,3287679.0,tabular,tabular,3293161,3391316.0,tabular,3164519.0,tabular,3440265.0,tabular,3213758.0,tabular,3097596.0,tabular,2939021.0,tabular,3611825.0,tabular,3078282.0,tabular,3251883.0,tabular,3262909.0,tabular,tabular,3115708,3153063.0,tabular,3189640.0,tabular,3216103.0,tabular,3313939.0,tabular,3212209.0,tabular,3078400.0,tabular,3083180.0,tabular,3301414.0,tabular,3234209.0,tabular,3294398.0,tabular,tabular,3750388.0,3166802.0,tabular,3408234.0,tabular,3552144.0,tabular,3194957.0,tabular,4723118.0,tabular,tabular,3359432.0,tabular,3258298.0,tabular,3324844.0,tabular,3643293.0,tabular,3507860.0,tabular,tabular,10414380.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",""".""","""1""","""1""","[{'src': 'hdca', 'id': 62501}]",,38663959,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-07-14 21:31:22.004803,95382.0,42.582465
2017-09-06 12:56:29.660116,slurm_normal,,main_w4_handler0,3217414,16746556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19091732,19091732,,,,,,,,,,,,,,,,,,,,,tabular,19344007,,,,,,,,,,,,,,,,,,,,,tabular,19195617,,,,,,,,,,,,,,,,,,,,,tabular,19398836.0,,,,,,,,,,,tabular,19577960.0,tabular,19413900.0,tabular,19700888.0,tabular,19613651.0,tabular,,,tabular,10815273.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",""".""","""0""","""7""","[{'src': 'hda', 'id': 31044305}, {'src': 'hda', 'id': 31044310}, {'src': 'hda', 'id': 31044315}, {'src': 'hda', 'id': 31044321}, {'src': 'hda', 'id': 31044326}, {'src': 'hda', 'id': 31044331}, {'src': 'hda', 'id': 31044336}, {'src': 'hda', 'id': 31044341}]",,39874217,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-09-06 12:58:29.657607,109973.0,119.99749100000001
2018-01-05 08:42:11.850725,slurm_normal,,main_w3_handler0,3002685,17951944,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",650404,650404,,,,,,,,,,,,,,,,,,,,,tabular,855451,,,,,,,,,,,,,,,,,,,,,tabular,787790,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,tabular,12028407,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",""".""","""5""","""1""","[{'src': 'hda', 'id': 33183369}, {'src': 'hda', 'id': 33183370}, {'src': 'hda', 'id': 33183371}]",,42995771,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2018-01-05 08:44:33.747190,61799.0,141.896465
2017-10-24 14:35:24.987074,slurm_normal,,main_w4_handler1,3297820,17197683,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",41658756,41658756,,,,,,,,,,,,,,,,,,,,,bed,44888944,,,,,,,,,,,,,,,,,,,,,bed,39792578,,,,,,,,,,,,,,,,,,,,,bed,44399843.0,,,,,,,,,,,bed,46555514.0,bed,40120579.0,bed,45273743.0,bed,45784409.0,bed,46612864.0,bed,bed,11257180,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",""".""","""0""","""1""","[{'src': 'hda', 'id': 31852043}, {'src': 'hda', 'id': 31852044}, {'src': 'hda', 'id': 31852046}, {'src': 'hda', 'id': 31852049}, {'src': 'hda', 'id': 31852052}, {'src': 'hda', 'id': 31852060}, {'src': 'hda', 'id': 31852065}, {'src': 'hda', 'id': 31852071}, {'src': 'hda', 'id': 31852080}]",,41485475,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-10-24 17:51:19.636114,,11754.64904
2017-08-21 17:58:55.867075,slurm_normal,,main_w3_handler0,3228455,16625385,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",47144,47144,,,,,,,,,,,,,,,,,,,,,tabular,38971,,,,,,,,,,,,,,,,,,,,,tabular,40500,,,,,,,,,,,,,,,,,,,,,tabular,1227803.0,,,,,,,,,,,tabular,,,,,,,,,,,tabular,10696922.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",""".""","""0""","""1""","[{'src': 'hda', 'id': 30940581}, {'src': 'hda', 'id': 30940586}, {'src': 'hda', 'id': 30940587}, {'src': 'hda', 'id': 30940667}]",,39987389,error,toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.1,0.0.1,,2017-08-21 18:01:09.060001,78484.0,133.192926
