chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|reads,input_format|reads_f,input_format|reads_f_filetype,input_format|reads_filetype,input_format|reads_r,input_format|reads_r_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.reads_f.values,parameters.input_format.paired.reads_r.values,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.max_primary,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.scoring_options_selector,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-01-15 16:38:16.785269,slurm_multi,,main_w3_handler2,2956227,,,14772024,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,4090879229.0,fastq,,4090879229.0,fastq,8934916,slurm,79780224.0,gtf,,corral-repl,,1,yes,slurm_multi,0,defaults,"""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""",1,fastq,1,0.0,defaults,paired,,"[{'src': 'hda', 'id': 27930583}]","[{'src': 'hda', 'id': 27930584}]",0,defaults,"""1000000""",1,false,false,10000,0,false,false,false,advanced,0,,rn6,indexed,0,defaults,1.0,0,0,0,C,"[{'src': 'hda', 'id': 27935592}]",600000,20,1,-8,C,false,3,,advanced,--dta-cufflinks,,34488366,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-01-16 01:21:09.905625,36816,31373.120356000003
,,2017-01-24 04:21:10.533836,slurm_multi,,main_w4_handler2,2804944,13724148371.0,fasta,14853963,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9014191,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28044638}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,34745055,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-01-24 04:39:52.721333,89189,1122.1874970000001
42680787.0,len,2017-02-23 18:41:02.827666,slurm_multi,,main_w4_handler2,2998963,5226692729.0,fasta,15121645,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,15396508330.0,fastqsanger,,15297467502.0,fastqsanger,9275630,slurm,,,,corral-repl,,1,yes,slurm_multi,0,defaults,"""/galaxy-repl/main/files/018/884/dataset_18884925.dat""","""?""",1,fastq,1,0.0,defaults,paired,,"[{'src': 'hda', 'id': 28435500}]","[{'src': 'hda', 'id': 28435501}]",0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28401605}]",,history,0,defaults,,,,,,,,,,,,,,,,,,35594818,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-02-23 21:31:54.350441,67011,10251.522775000001
42680787.0,len,2017-02-22 17:13:25.030255,slurm_multi,,main_w3_handler2,2998963,5226692729.0,fasta,15109690,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,15396508330.0,fastqsanger,,15297467502.0,fastqsanger,9264492,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/main/files/018/884/dataset_18884925.dat""","""?""",1,fastq,1,0.0,defaults,paired,,"[{'src': 'hda', 'id': 28435500}]","[{'src': 'hda', 'id': 28435501}]",0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28401605}]",,history,0,defaults,,,,,,,,,,,,,,,,,,35594818,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-02-22 20:03:30.719739,67011,10205.689484
,,2017-02-01 04:56:22.314049,slurm_multi,,main_w4_handler2,2804944,13724148371.0,fasta,14920274,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9091548,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28044638}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,35598654,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-02-03 08:56:18.355269,89189,187196.04122
,,2017-01-23 10:46:28.567976,slurm_multi,,main_w3_handler2,2804944,13724148371.0,fasta,14845224,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9005382,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28044638}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,35531377,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-01-23 11:03:47.671640,89189,1039.103664
,,2017-01-25 11:06:35.473315,slurm_multi,,main_w4_handler2,2804944,13724148371.0,fasta,14865181,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9024703,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28044638}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,34745055,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-01-25 11:26:37.772092,89189,1202.298777
,,2017-01-27 09:51:13.464776,slurm_multi,,main_w3_handler2,2804944,13607333627.0,fasta,14886841,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9046163,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28107993}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,35598654,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-01-28 01:39:06.597063,89189,56873.132287
,,2017-02-02 05:09:20.959753,slurm_multi,,main_w3_handler2,2804944,13724148371.0,fasta,14929808,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",305578134.0,,,fasta,,,9098669,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,single,"[{'src': 'hda', 'id': 28035511}]",,,0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 28044638}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,35598654,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2017-02-03 10:49:23.656416,89189,106802.69666300001
,,2016-12-13 21:24:15.385235,slurm_multi,,main_w4_handler2,2919819,35110371908.0,fasta,14568824,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,1337068252.0,fastq,,1305729452.0,fastq,8747877,slurm,,,,corral-repl,,0,no,,0,defaults,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,defaults,paired,,"[{'src': 'hda', 'id': 27533911}]","[{'src': 'hda', 'id': 27533912}]",0,defaults,"""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 27622291}]",,history,0,defaults,0.0,,,,,,,,,,,,,,defaults,,,34835808,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.3,2.0.3,,2016-12-13 21:39:23.972122,87235,908.586887
