chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|paired|forward,input_format|paired|forward_filetype,input_format|paired|reads1,input_format|paired|reads1_filetype,input_format|paired|reads2,input_format|paired|reads2_filetype,input_format|paired|reverse,input_format|paired|reverse_filetype,input_format|reads,input_format|reads_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.aligned_file,parameters.input_format.paired.collection.__current_case__,parameters.input_format.paired.collection.collection_selector,parameters.input_format.paired.collection.forward.values,parameters.input_format.paired.collection.reads.values,parameters.input_format.paired.collection.reverse.values,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.unaligned_file,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.max_seeds,parameters.paired_options.__current_case__,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.no_softclip,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.secondary,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment_options.__current_case__,parameters.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
23433632.0,len,2017-11-28 05:38:27.454200,slurm_multi,,main_w4_handler2,3339062,13725373601.0,fasta,17613920,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8043589967.0,fastqsanger,,,,,8043589967.0,fastqsanger,,,11674763,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/main/files/022/471/dataset_22471550.dat""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32535970}]",,"[{'src': 'hda', 'id': 32535971}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32576174}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42246100,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-28 05:48:50.824573,117104,623.3703730000001
,,2017-11-28 05:46:05.730156,slurm_multi,,main_w3_handler2,3339062,13725373601.0,fasta,17613950,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7542341522.0,fastqsanger,,,,,7714961282.0,fastqsanger,,,11674827,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/main/files/022/434/dataset_22434006.dat""","""Wheat_v37""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32543179}]",,"[{'src': 'hda', 'id': 32537104}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32576174}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42246100,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-28 06:00:04.154563,117104,838.4244070000001
,,2017-12-31 07:30:09.834055,slurm_multi,,main_w4_handler2,3347729,4871662.0,fasta,17920684,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,4774009.0,fasta,11995841,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,fasta,1,true,,,,,,,,,,,single,"[{'src': 'hda', 'id': 32660949}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 33120074}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",0,,,,,,,,,,,,,,,defaults,,,42919523,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-12-31 07:31:49.111552,117714,99.27749700000001
,,2017-11-07 22:32:14.230920,slurm_multi,,main_w3_handler2,3258230,,,17374271,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6311349362.0,fastqsanger,,,,,6311349362.0,fastqsanger,,,11433438,slurm,1175571066.0,gtf,,corral-repl,,0,no,1,advanced,0.15,0.0,L,false,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32138432}]",,"[{'src': 'hda', 'id': 32138435}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,0,,hg19,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",1,0,1.0,-8.0,G,"[{'src': 'hda', 'id': 32137784}]",500000,20,1.0,-8.0,G,1.0,,12,,advanced,,,40572222,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-08 00:23:13.372068,110192,6659.141148000001
,,2018-01-10 21:58:27.206314,slurm_multi,,main_w4_handler2,3386887,4914354351.0,fasta,17997391,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3864047489.0,fastqsanger,,,,,3881824727.0,fastqsanger,,,12074217,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 33237181}]",,"[{'src': 'hda', 'id': 33237182}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 33237241}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,42691248,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2018-01-10 22:13:09.377180,5254,882.170866
,,2017-08-16 14:50:45.715405,slurm_multi,,main_w3_handler2,3177177,4444903621.0,fasta,16594325,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17286382140.0,fastq,,,,,17286382140.0,fastq,,,10666211,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 30252274}]",,"[{'src': 'hda', 'id': 30252286}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30886513}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39886334,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-16 15:01:35.475459,108380,649.7600540000001
,,2017-11-03 12:53:37.176523,slurm_multi,,main_w4_handler2,2864643,13722567486.0,fasta,17316825,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5102880660.0,fastqsanger.gz,4997939027.0,fastqsanger.gz,,,,,11376980,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,0.0,collection,,"[{'src': 'dce', 'id': 1026867}]",,0.0,,,defaults,,paired,,false,0,defaults,,,,,"""5""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32049047}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,41722708,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-03 13:25:45.350723,92798,1928.1742000000002
,,2017-08-28 07:20:28.185231,slurm_multi,,main_w3_handler2,3217304,13725373601.0,fasta,16671417,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,2196492574.0,fastq,10743770,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 31006457}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30986118}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39876560,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-28 07:58:19.287526,109841,2271.102295
,,2017-11-03 12:53:37.792729,slurm_multi,,main_w3_handler2,2864643,13722567486.0,fasta,17316826,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,4040003814.0,fastqsanger.gz,3981281588.0,fastqsanger.gz,,,,,11376978,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,0.0,collection,,"[{'src': 'dce', 'id': 1026868}]",,0.0,,,defaults,,paired,,false,0,defaults,,,,,"""5""","""""",0,defaults,1,"[{'src': 'hda', 'id': 32049047}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,41722708,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-03 13:22:18.872220,92798,1721.0794910000002
,,2017-08-28 09:04:31.344395,slurm_multi,,main_w3_handler2,3217304,13725373601.0,fasta,16671863,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,2196492574.0,fastqsanger,10744231,slurm,,,,corral-repl,,0,no,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,,,,,,,,,,,single,"[{'src': 'hda', 'id': 30986237}]",false,0,defaults,,,,,"""""","""""",0,defaults,1,"[{'src': 'hda', 'id': 30986118}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0,,,,,,,,,,,,,,,defaults,,,39876560,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-28 09:31:00.577419,109841,1589.2330240000001
