create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-11 05:23:51.580646,slurm_normal,,main_w2_handler1,2231184,11784605,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1660031171,fasta,6039856.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18783583,"""True""",0.0,basic,,28285278,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-02-11 05:24:29.790792,35327,38.210146
2016-02-11 05:20:36.682480,slurm_normal,,main_w1_handler1,2231184,11784594,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1660031171,fasta,6039838.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18783583,"""True""",0.0,basic,,28285278,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-02-11 05:21:09.327134,35327,32.644654
2016-01-21 18:02:17.367026,slurm_normal,,main_w2_handler0,2572246,11573533,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2455031439,fasta,5838246.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",22994946,"""True""",,,,27549256,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-21 18:09:35.430184,76977,438.06315800000004
2016-01-18 06:07:10.365220,slurm_normal,,main_w1_handler2,2562623,11533414,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2742177425,fasta,5800825.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",22939031,"""True""",0.0,basic,,27358455,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-18 06:08:15.231610,76647,64.86639000000001
2016-01-21 17:50:22.150979,slurm_normal,,main_w2_handler1,2572563,11573449,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2502127758,fasta,5838011.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",22991538,"""True""",0.0,basic,,27549256,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-21 17:52:12.033602,76977,109.88262300000001
2016-01-12 19:58:10.847001,slurm_normal,,main_w1_handler0,2563560,11483783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",740814939,fasta,5745188.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22871829,"""True""",,,,26374901,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-12 20:04:03.116949,63550,352.269948
2016-01-22 13:03:07.921349,slurm_normal,,main_w2_handler0,2543864,11580282,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",233560503,fasta,5845987.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23005664,"""True""",0.0,basic,,27653202,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-22 13:03:43.462765,77297,35.541416000000005
2016-01-21 17:55:35.481772,slurm_normal,,main_w1_handler2,2572563,11573482,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2502127758,fasta,5838060.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",22991538,"""True""",0.0,basic,,27549256,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-21 17:57:35.827183,76977,120.34541100000001
2016-02-11 05:18:34.313021,slurm_normal,,main_w1_handler2,2231184,11784588,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1660031171,fasta,6039832.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18783583,"""True""",0.0,basic,,28285278,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-02-11 05:19:04.993367,35327,30.680346000000004
2016-01-14 10:13:39.111058,slurm_normal,,main_w2_handler1,2563956,11500519,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2389968973,fasta,5768400.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22894752,"""True""",,,,27429233,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-14 10:17:20.112199,36150,221.00114100000002
2016-01-13 05:39:25.459438,slurm_normal,,main_w2_handler0,1951125,11487518,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",297942854,fasta,5751454.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22834449,"""True""",0.0,basic,,27281708,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.0.0,4.11.0.0,,2016-01-13 05:40:16.486908,50409,51.02747
