candidate,candidate_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.candidate|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2512255,fasta,2018-03-07 23:02:05.252744,slurm_normal,,main_w3_handler1,3419528,18649065,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12743190,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 34280031}]","[{'src': 'hda', 'id': 33907688}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/propAcne_KPA171202.len""","""propAcne_KPA171202""",1,no,,1,no,0,8,kmer,,44012770,error,2592333,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2018-03-07 23:33:43.838379,121461,1898.5856350000001
181942,fasta,2017-10-04 19:59:02.319627,slurm_normal,,main_w4_handler1,3269248,17026519,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11082204.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31557170}]","[{'src': 'hda', 'id': 31561924}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,40904403,error,200694,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-04 20:00:26.145934,112385,83.826307
4142535,fasta,2017-11-16 13:24:44.449471,slurm_normal,,main_w3_handler0,3326602,17481981,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539704,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353082}]","""3_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:29:59.535196,50169,315.085725
618910524,fasta,2017-10-23 16:04:32.015613,slurm_normal,,main_w3_handler1,2646197,17180155,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11240561,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31778149}]","[{'src': 'hda', 'id': 31780676}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41425936,error,29737,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-10-23 16:04:56.734642,81381,24.719029000000003
113956,fasta,2017-12-02 22:10:06.282067,slurm_normal,,main_w3_handler0,3342283,17678085,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11740669,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32575842}]","[{'src': 'hda', 'id': 32695463}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,42292041,error,153293,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-12-02 22:10:43.289457,117382,37.00739
8351188,fasta,2017-11-16 13:24:43.752348,slurm_normal,,main_w3_handler1,3326602,17481980,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11539702,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353078}]","""4_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 13:29:53.218567,50169,309.466219
8421328,fasta,2017-11-16 14:47:50.587151,slurm_normal,,main_w3_handler1,3326602,17482866,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540692,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353097}]","""2_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:56:50.137734,50169,539.5505830000001
3943285,fasta,2017-11-16 19:06:32.309172,slurm_normal,,main_w3_handler0,3326602,17485816,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543378,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32362148}]","[{'src': 'hda', 'id': 32353093}]","""2_2.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 19:15:30.184134,50169,537.874962
8783613,fasta,2017-11-16 14:47:48.792710,slurm_normal,,main_w4_handler0,3326602,17482864,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11540651,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 32352280}]","[{'src': 'hda', 'id': 32353087}]","""3_1.fastq""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,yes,0.5,1,no,0,8,kmer,,41551881,error,9554447505,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-16 14:52:15.687777,50169,266.89506700000004
4661722,fasta,2017-10-31 22:08:30.260955,slurm_normal,,main_w4_handler0,3304813,17281380,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11342366,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 31995325}]","[{'src': 'hda', 'id': 31995085}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,no,,1,no,0,8,kmer,,41650012,error,4708034,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,1.36.1.0,,2017-11-01 00:01:51.214337,114766,6800.953382000001
