chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,genomeFastaFiles,genomeFastaFiles_filetype,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.multi_bridges_compute_resource,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1|__identifier__,parameters.input2|__identifier__,parameters.output_params.__current_case__,parameters.output_params.outFilterIntronMotifs,parameters.output_params.outSAMattributes,parameters.output_params.outSAMstrandField,parameters.output_params.output_params2.__current_case__,parameters.output_params.output_params2.outFilterMatchNmin,parameters.output_params.output_params2.outFilterMatchNminOverLread,parameters.output_params.output_params2.outFilterMismatchNmax,parameters.output_params.output_params2.outFilterMismatchNoverLmax,parameters.output_params.output_params2.outFilterMismatchNoverReadLmax,parameters.output_params.output_params2.outFilterMultimapNmax,parameters.output_params.output_params2.outFilterMultimapScoreRange,parameters.output_params.output_params2.outFilterScoreMin,parameters.output_params.output_params2.outFilterScoreMinOverLread,parameters.output_params.output_params2.outFilterType,parameters.output_params.output_params2.outSAMmapqUnique,parameters.output_params.output_params2.outSAMprimaryFlag,parameters.output_params.output_params2.outSAMunmapped,parameters.output_params.output_params2.output_select2,parameters.output_params.output_select,parameters.params.__current_case__,parameters.params.align.alignEndsType,parameters.params.align.alignIntronMax,parameters.params.align.alignIntronMin,parameters.params.align.alignMatesGapMax,parameters.params.align.alignSJDBoverhangMin,parameters.params.align.alignSJoverhangMin,parameters.params.align.alignSplicedMateMapLmin,parameters.params.align.alignSplicedMateMapLminOverLmate,parameters.params.align.alignTranscriptsPerReadNmax,parameters.params.align.alignTranscriptsPerWindowNmax,parameters.params.align.alignWindowsPerReadNmax,parameters.params.chim.__current_case__,parameters.params.chim.chimJunctionOverhangMin,parameters.params.chim.chimScoreDropMax,parameters.params.chim.chimScoreJunctionNonGTAG,parameters.params.chim.chimScoreMin,parameters.params.chim.chimScoreSeparation,parameters.params.chim.chimSegmentMin,parameters.params.chim.chim_select,parameters.params.seed.seedMultimapNmax,parameters.params.seed.seedNoneLociPerWindow,parameters.params.seed.seedPerReadNmax,parameters.params.seed.seedPerWindowNmax,parameters.params.seed.seedSearchLmax,parameters.params.seed.seedSearchStartLmax,parameters.params.seed.seedSearchStartLmaxOverLread,parameters.params.settingsType,parameters.quantMode,parameters.refGenomeSource.GTFconditional.GTFselect,parameters.refGenomeSource.GTFconditional.__current_case__,parameters.refGenomeSource.GTFconditional.genomeDir,parameters.refGenomeSource.GTFconditional.sjdbGTFfile.values,parameters.refGenomeSource.GTFconditional.sjdbOverhang,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.geneSource,parameters.refGenomeSource.genomeFastaFiles.values,parameters.refGenomeSource.sjdbGTFfile.values,parameters.refGenomeSource.sjdbOverhang,parameters.singlePaired.__current_case__,parameters.singlePaired.input.values,parameters.singlePaired.input1.values,parameters.singlePaired.input2.values,parameters.singlePaired.sPaired,refGenomeSource|sjdbGTFfile,refGenomeSource|sjdbGTFfile_filetype,runner_name,session_id,sjdbGTFfile,sjdbGTFfile_filetype,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-13 11:42:17.010865,slurm_multi,,4914354351.0,fasta,main_w4_handler2,3152923,16089607,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3790213981,fastq,3790213981.0,fastq,10175703,slurm,,corral-repl,,0.0,no,,,"""46ea3f4c502d11e7a72e005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""false""",,,,,,,,,,,1,,"[{'src': 'hda', 'id': 29833895}]","[{'src': 'hda', 'id': 29833895}]",paired,,,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-06-13 12:55:52.152787,42765,4415.141922000001
,,2017-07-02 03:13:56.436892,slurm_multi,,3157591129.0,fasta,main_w3_handler2,3179019,16240230,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6027283366,fastq,,,10315955,slurm,,corral-repl,,0.0,no,,,"""7980fada5ed411e7ab6f005056a52a46""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",,,0,RemoveNoncanonical,Standard,intronMotif,0.0,10,0.66,10,0.1,1.0,10,1,0,0.66,true,255,false,false,yes,yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""false""",,,,,,1.0,history,"[{'src': 'hda', 'id': 30255727}]","[{'src': 'hda', 'id': 30251642}]",75,0,,"[{'src': 'hda', 'id': 30238465}]",,single,,,,,1175571066.0,gtf,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-07-02 05:15:25.644168,108061,7289.207276
,,2017-09-06 22:10:37.368053,slurm_multi,,,,main_w3_handler2,3244801,16751859,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",530891260,fastqsanger,440399480.0,fastqsanger,10821490,slurm,,corral-repl,,0.0,no,,,"""2537b576935011e7acd3005056ba55fb""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""true""",without-gtf,1.0,hg38,"[{'src': 'hda', 'id': 31100585}]",100,0.0,indexed,,,,2,"[{'src': 'dce', 'id': 887092}]",,,paired_collection,238695801.0,gtf,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-09-06 22:55:52.876086,105579,2715.508033
,,2017-09-08 16:46:57.220642,slurm_multi,,,,main_w4_handler2,3241323,16774281,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",623655212,fastqsanger,499069772.0,fastqsanger,10842153,slurm,,corral-repl,,0.0,no,,,"""4eed1b5294b511e79dd9005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""true""",without-gtf,1.0,hg38,"[{'src': 'hda', 'id': 31100585}]",100,0.0,indexed,,,,2,"[{'src': 'dce', 'id': 892583}]",,,paired_collection,238695801.0,gtf,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-09-08 17:13:49.591315,105579,1612.3706730000001
,,2017-09-15 20:45:14.341082,slurm_multi,,,,main_w4_handler2,3255265,16840424,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",390813172,fastqsanger,317298162.0,fastqsanger,10907993,slurm,,corral-repl,,0.0,no,,,"""994fce8c9a5611e7b91d005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""true""",without-gtf,1.0,hg38,"[{'src': 'hda', 'id': 31269195}]",100,0.0,indexed,,,,2,"[{'src': 'dce', 'id': 913780}]",,,paired_collection,300987935.0,gtf,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-09-15 22:36:08.137970,105579,6653.796888000001
,,2017-11-13 12:46:18.692676,slurm_multi,,3290776768.0,fasta,main_w3_handler2,3323020,17437154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15426089045,fastqsanger,,,11498250,slurm,,corral-repl,,0.0,no,,,"""9a7d6100c87011e7a55c005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""hg38Patch11""","""CIM3S.fastq""",,0,RemoveNoncanonicalUnannotated,All,intronMotif,0.0,0,0.66,10,0.3,1.0,10,1,0,0.66,false,255,false,false,yes,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,star_fusion,"""true""",,,,,,1.0,history,"[{'src': 'hda', 'id': 32280593}]","[{'src': 'hda', 'id': 32280594}]",100,0,,"[{'src': 'hda', 'id': 32280677}]",,single,,,,,1263772921.0,gff3,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-11-13 18:26:42.164793,116131,20423.472117
,,2017-08-29 13:51:40.576987,slurm_multi,,1399173082.0,fasta,main_w4_handler2,3229122,16683071,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3517435400,fastqsanger,3596336234.0,fastqsanger,10754840,slurm,,corral-repl,,0.0,no,,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""",,,1,,,,,,,,,,,,,,,,,,,no,2,false,0,21,0,3,5,0,0.66,10000,100,10000,1.0,,,,,,,no,10000,10,1000,50,0,50,1.0,full,"""true""",,,,,,1.0,history,"[{'src': 'hda', 'id': 31000292}]","[{'src': 'hda', 'id': 30998085}]",150,1,,"[{'src': 'hda', 'id': 30976725}]","[{'src': 'hda', 'id': 30976727}]",paired,,,,40132468.0,127107870.0,gtf,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-08-29 13:54:17.065235,108519,156.488248
,,2017-07-07 00:09:02.124509,slurm_multi,,2776387546.0,fasta,main_w3_handler2,3184530,16278007,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17417724,fastq.gz,,,10349227,slurm,,corral-repl,,0.0,no,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""P7457_1093_S93_L002_R1_001.fastq.gz""",,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""true""",,,,,,1.0,history,"[{'src': 'hda', 'id': 30340121}]","[{'src': 'hda', 'id': 30340083}]",100,0,,"[{'src': 'hda', 'id': 30340578}]",,single,,,,39142313.0,810616263.0,gtf,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-07-07 02:12:42.643568,108667,7420.519059
,,2017-05-29 18:51:44.449488,slurm_normal,,21843641.0,fasta,main_w3_handler0,3122470,15962259,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4794243211,fastqsanger,,,10059154.roundup,slurm,,corral-repl,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,,,,,,,,,,,,,,,,,,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,default,"""true""",,,,,,,,,,,0,,"[{'src': 'hda', 'id': 29736460}]",,single,,,,38139266.0,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2017-05-29 18:52:59.313911,106371,74.864423
,,2018-01-26 19:41:42.211267,slurm_multi,,,,main_w3_handler2,3399418,18170256,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1367014069,fastq.gz,1429725602.0,fastq.gz,12251213,slurm,,corral-repl,,0.0,no,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,,,,,,,,,,,,,,,,,,,no,2,false,0,21,0,3,5,0,0.66,10000,100,10000,0.0,10,20,-1,0,10,30,yes,10000,10,1000,50,0,50,1.0,full,"""false""",without-gtf,1.0,hg19,"[{'src': 'hda', 'id': 33413943}]",100,0.0,indexed,,,,1,,"[{'src': 'hda', 'id': 33522634}]","[{'src': 'hda', 'id': 33522637}]",paired,261232632.0,gtf,,43327935.0,,,error,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.5.2b-0,2.5.2b-0,,2018-01-26 20:11:00.323189,120294,1758.111922
