create_time,dbfile,dbfile_filetype,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.idprefix,parameters.adv_opts.idsuffix,parameters.adv_opts.leftjust,parameters.adv_opts.match,parameters.adv_opts.maxaccepts,parameters.adv_opts.maxdiffs,parameters.adv_opts.maxgaps,parameters.adv_opts.maxhits,parameters.adv_opts.maxid,parameters.adv_opts.maxqsize,parameters.adv_opts.maxqt,parameters.adv_opts.maxrejects,parameters.adv_opts.maxsizeratio,parameters.adv_opts.maxsl,parameters.adv_opts.maxsubs,parameters.adv_opts.mid,parameters.adv_opts.mincols,parameters.adv_opts.minqt,parameters.adv_opts.minsizeratio,parameters.adv_opts.minsl,parameters.adv_opts.mintsize,parameters.adv_opts.mismatch,parameters.adv_opts.output_no_hits,parameters.adv_opts.query_cov,parameters.adv_opts.rightjust,parameters.adv_opts.target_cov,parameters.adv_opts.top_hits_only,parameters.adv_opts.uclust_output.__current_case__,parameters.adv_opts.uclust_output.uclust_output_select,parameters.adv_opts.userfields_output.__current_case__,parameters.adv_opts.userfields_output.userfields_output_select,parameters.adv_opts.wordlength,parameters.chromInfo,parameters.dbfile.values,parameters.dbkey,parameters.dbmask,parameters.hardmask,parameters.id,parameters.iddef,parameters.outputs,parameters.qmask,parameters.queryfile.values,parameters.self_param,parameters.selfid_param,parameters.sizeout,parameters.strand,queryfile,queryfile_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-05 12:52:36.766121,2739619026,fasta,slurm_normal,,main_w4_handler1,2801854,13782252,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8003790.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b024a47ebf0953b3'}]","""?""","""none""","""false""","""""","""4""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a55afd8ef8f32790'}]","""false""","""false""","""false""","""both""",14064389,fasta,,31749302,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-05 12:57:42.685648,50926.0,305.919527
2017-03-07 05:28:49.448399,4246284340,fasta,slurm_normal,,main_w3_handler0,3019773,15226307,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9374743.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28647906}]","""?""","""none""","""false""","""""","""2""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 28647906}]","""false""","""false""","""false""","""plus""",4246284340,fasta,,36474068,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2017-03-07 05:32:09.093717,101427.0,199.645318
2016-09-15 09:52:29.403836,2739619026,fasta,slurm_normal,,main_w4_handler1,2801854,13855121,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8078165.roundup,slurm,,corral-repl,,1,advanced,,,false,2,1,,,,,,,32,,,,,,,,,,-4,false,,false,,true,1.0,no,1.0,no,8,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b024a47ebf0953b3'}]","""?""","""none""","""false""","""""","""4""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a55afd8ef8f32790'}]","""false""","""false""","""false""","""both""",14064389,fasta,,31749302,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-15 09:56:43.934313,50926.0,254.53047700000002
2017-06-10 19:42:43.287215,5871896785,fasta,slurm_normal,,main_w4_handler1,3010041,16072019,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10160119.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/aquChr2.len""","[{'src': 'hda', 'id': 29951239}]","""aquChr2""","""none""","""false""","""""","""2""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 29809541}]","""false""","""false""","""false""","""plus""",1611,fasta,,37492055,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2017-06-10 19:48:43.711547,100924.0,360.42433200000005
2016-09-09 09:11:31.234995,6597349685,fasta,slurm_normal,,main_w3_handler0,2813126,13814199,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8035533.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b556e47e2efdc67c75'}]","""?""","""none""","""false""","""""","""2""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c68f313c23e066e8'}]","""false""","""false""","""false""","""plus""",256581,fasta,,32861332,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-09 09:16:59.439894,53323.0,328.204899
2017-06-08 13:30:51.098599,5871896785,fasta,slurm_normal,,main_w4_handler0,3010041,16053239,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10143002.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/aquChr2.len""","[{'src': 'hda', 'id': 29951239}]","""aquChr2""","""none""","""false""","""""","""2""","[""--dbmatched""]","""dust""","[{'src': 'hda', 'id': 29918365}]","""false""","""false""","""false""","""plus""",4536,fasta,,37492055,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2017-06-08 13:35:02.534970,100924.0,251.436371
2016-09-09 14:26:23.878220,6597349685,fasta,slurm_normal,,main_w3_handler0,2813126,13815802,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8037168.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b556e47e2efdc67c75'}]","""?""","""none""","""false""","""1.0""","""2""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c68f313c23e066e8'}]","""false""","""false""","""false""","""plus""",256581,fasta,,32861332,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-09 14:34:30.425193,53323.0,486.54697300000004
2016-09-05 13:31:28.027582,2739619026,fasta,slurm_normal,,main_w4_handler1,2801854,13782474,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8003983.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b024a47ebf0953b3'}]","""?""","""none""","""false""","""""","""4""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a55afd8ef8f32790'}]","""false""","""false""","""false""","""both""",14064389,fasta,,31749302,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-05 13:34:16.686563,50926.0,168.658981
2017-06-08 13:39:08.360835,5871896785,fasta,slurm_normal,,main_w3_handler0,3010041,16053362,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10143108.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/aquChr2.len""","[{'src': 'hda', 'id': 29951239}]","""aquChr2""","""none""","""false""","""""","""2""","[""--dbmatched""]","""dust""","[{'src': 'hda', 'id': 29918365}]","""false""","""false""","""false""","""plus""",4536,fasta,,37492055,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2017-06-08 13:42:35.913552,100924.0,207.552717
2016-09-09 10:32:15.221575,6597349685,fasta,slurm_normal,,main_w3_handler0,2813126,13814609,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8036000.roundup,slurm,,corral-repl,,0,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b556e47e2efdc67c75'}]","""?""","""none""","""false""","""0.9""","""2""","[""--blast6out""]","""dust""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c68f313c23e066e8'}]","""false""","""false""","""false""","""plus""",256581,fasta,,32861332,error,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.9.7.0,1.9.7.0,,2016-09-09 10:39:39.510892,53323.0,444.28931700000004
