create_time,destination_id,exit_code,gfffile,gfffile_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.featuretype,parameters.force_sort,parameters.gfffile,parameters.gfffile.values,parameters.idattr,parameters.minaqual,parameters.mode,parameters.samfile,parameters.samfile.values,parameters.samfile|__identifier__,parameters.samout_conditional.__current_case__,parameters.samout_conditional.reference_source.__current_case__,parameters.samout_conditional.reference_source.ref_file,parameters.samout_conditional.reference_source.ref_file.values,parameters.samout_conditional.reference_source.reference_source_selector,parameters.samout_conditional.samout,parameters.stranded,runner_name,samfile,samfile_filetype,samout_conditional|ref_file,samout_conditional|ref_file_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-08 17:42:00.509930,slurm_normal,,68121968,gtf,main_w1_handler2,2693560,12822969,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7023913.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59de5a7ac028ef595'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59424634304c0fe26'}]",,1,,,,,false,"""yes""",,6133008789,bam,,,29931501.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-08 17:47:53.956105,17011,353.44617500000004
2016-09-05 10:21:42.458716,slurm_normal,,5222213,gtf,main_w3_handler0,2784398,13781488,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8003031.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5785d0f30b20b1d2b'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a54089941b16d33e'}]",,1,,,,,false,"""yes""",,2917833775,bam,,,32771869.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-09-05 10:37:26.415482,66495,943.956766
2016-03-03 22:01:20.147868,slurm_normal,,135909791,gtf,main_w1_handler1,2611926,12014923,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6242782.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""False""",23661235,,"""gene_id""","""10""","""union""",23574081,,,1,,,,,False,"""yes""",,5358169552,bam,,,28431630.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-03-03 22:34:53.776938,35951,2013.6290700000002
2016-04-18 09:09:16.326640,slurm_normal,,119932710,gtf,main_w2_handler0,2672125,12501548,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6693505.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b523c9f5ff2e81e2c8'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a846a2a812c7f60d'}]",,1,,,,,false,"""yes""",,22501530513,bam,,,29638907.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-18 09:31:53.394528,42102,1357.067888
2016-05-11 07:41:37.775873,slurm_normal,,124104813,gtf,main_w2_handler1,2627156,12853017,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7053444.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5088eada15ce9f46c'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c28801aa19ad995'}]",,1,,,,,false,"""yes""",,21856739007,bam,,,28896018.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-11 07:52:26.171701,80192,648.395828
2016-04-14 14:09:18.918884,slurm_normal,,70885552,gtf,main_w2_handler0,2223711,12452458,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6649666.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc04593055cb8cf8'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5253b81d265489594'}]",,1,,,,,false,"""no""",,3932211171,bam,,,29449073.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-04-14 14:23:22.998507,44240,844.0796230000001
2016-07-25 19:37:23.853208,slurm_normal,,847928511,gff,main_w2_handler0,2774631,13489533,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7705479.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c148312ddb0f4971'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b541d62a677b7fbbdd'}]",,1,,,,,false,"""yes""",,5927528049,bam,,,31680661.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-07-25 20:33:55.439215,41721,3391.5860070000003
2016-05-02 17:58:31.974613,slurm_normal,,116963244,gtf,main_w1_handler1,2663651,12736284,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6935354.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a132b53cc520331b'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a88c55fc013980a8'}]",,1,,,,,false,"""no""",,11816144592,bam,,,29567581.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-05-02 18:23:10.206590,69000,1478.2319770000001
2016-06-21 16:43:49.909359,slurm_normal,,574560017,gff,main_w2_handler1,2744796,13226665,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7411870.roundup,slurm,,corral-repl,,"""544eb69437cf11e68369005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c4af36a3903d573'}]","""gene_id""","""10""","""union""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59e1b58a1cc2354e5'}]",,1,,,,,false,"""no""",,798564142,bam,,,30583335.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-06-21 17:39:47.361446,63108,3357.452087
2016-07-18 22:52:46.518224,slurm_normal,,72967974,gtf,main_w2_handler0,2753613,13438056,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7649544.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""exon""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b548aafe706f5e90eb'}]","""gene_id""","""10""","""intersection-nonempty""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5820ee294849e717c'}]",,1,,,,,false,"""yes""",,5933724693,bam,,,31185807.0,error,toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.6.1galaxy1,0.6.1galaxy1,,2016-07-18 23:17:55.629755,44428,1509.111531
