create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.async_datasets,parameters.dbkey,parameters.file_count,parameters.file_type,parameters.files_metadata.__current_case__,parameters.files_metadata.base_name,parameters.files_metadata.file_type,parameters.paramfile,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-05 02:11:21.258318,slurm_normal,,main_w1_handler2,2473230,10822617,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5078183.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",32,,auto,"""/galaxy/main/scratch/tmpPyMSOo""",,25712932,error,upload1,1.1.4,,2015-11-05 02:50:50.935369,71404.0,2369.677051
2014-12-21 14:20:05.266723,rodeo_normal,,main_w2_handler1,2150271,8452142,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",614668.rodeo,slurm,,corral-repl,,"""None""","""hg19""",,"""fastq""",170,,fastq,"""/galaxy/main/scratch/tmpi7xZWg""",,20182767,error,upload1,1.1.4,,2014-12-21 14:24:14.776554,57507.0,249.50983100000002
2017-08-02 22:24:45.641623,slurm_normal,,main_w4_handler0,3209791,16492783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10562285.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmpwdWm9M""",,39678004,error,upload1,1.1.4,,2017-08-02 22:26:59.154689,107931.0,133.513066
2016-02-27 20:23:58.121980,slurm_normal,,main_w1_handler0,2614649,11958349,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6191724.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""affybatch""",22,rexpression,affybatch,"""/galaxy/main/scratch/tmp9H1z2D""",,28521022,error,upload1,1.1.4,,2016-02-27 20:41:49.577617,78923.0,1071.455637
2016-10-25 05:21:48.366427,slurm_normal,,main_w3_handler1,2867674,14164692,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8377221.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmpozUuj8""",,33817109,error,upload1,1.1.4,,2016-10-25 05:24:23.149481,32188.0,154.78305400000002
2016-07-27 06:35:29.476832,slurm_normal,,main_w2_handler1,2776139,13505453,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7720869.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpSP_2ii""",,31746565,error,upload1,1.1.4,,2016-07-27 06:37:11.949283,87414.0,102.472451
2017-04-26 14:55:05.571216,slurm_normal,,main_w3_handler1,3084514,15682272,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9796612.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",119,,auto,"""/galaxy-repl/main/scratch2/tmpIwR2zF""",,37571332,error,upload1,1.1.4,,2017-04-26 14:57:42.149731,96825.0,156.578515
2017-03-01 19:53:40.697279,slurm_normal,,main_w3_handler0,2563496,15181889,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9332661.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",119,,auto,"""/galaxy-repl/main/scratch2/tmpO0rpo9""",,36042707,error,upload1,1.1.4,,2017-03-01 19:58:17.943190,79772.0,277.24591100000004
2017-08-02 23:39:45.732042,slurm_normal,,main_w3_handler1,3209791,16493096,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10562647.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmp4ov1Q7""",,39679869,error,upload1,1.1.4,,2017-08-02 23:41:58.351659,107931.0,132.619617
2014-12-21 04:00:13.120898,rodeo_normal,,main_w2_handler1,2150271,8451554,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2356749.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""fastq""",170,,fastq,"""/galaxy/main/scratch/tmpua6UWJ""",,20171509,error,upload1,1.1.4,,2014-12-21 04:01:58.559565,57507.0,105.43866700000001
2018-01-23 23:19:37.328411,slurm_normal,,main_w3_handler0,3402968,18139044,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12218945,slurm,,corral-repl,,"""None""","""?""",,"""bam""",237,,bam,"""/galaxy-repl/main/scratch2/tmpAYT_FM""",,43395394,error,upload1,1.1.4,,2018-01-23 23:21:48.112905,110192.0,130.784494
2016-10-26 05:56:19.974480,slurm_normal,,main_w4_handler0,2867584,14175781,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8388448.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""bed""",153,,bed,"""/galaxy/main/scratch/tmpkWb6dZ""",,33817109,error,upload1,1.1.4,,2016-10-26 05:58:39.471693,32188.0,139.49721300000002
2016-07-24 16:52:21.657421,slurm_normal,,main_w1_handler1,2774108,13480358,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7696187.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpmV1bQU""",,31667804,error,upload1,1.1.4,,2016-07-24 16:55:08.150213,58079.0,166.492792
