bamFile1,bamFile1_filetype,bamFile2,bamFile2_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamFile1.values,parameters.bamFile2.values,parameters.binSize,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.normalization.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.comparison.normalization.type,parameters.comparison.pseudocount,parameters.comparison.type,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.method,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
3057986106,bam,3057986106,bam,2017-04-07 03:05:16.795259,slurm_multi,,main_w4_handler2,3059916,15514578,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9642143,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 29094322}]","[{'src': 'hda', 'id': 29094322}]","""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,37145063,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-08 18:46:54.791374,103605,142897.99611500002
3057986106,bam,3057986106,bam,2017-04-07 07:49:34.549693,slurm_multi,,main_w3_handler2,3059916,15515755,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9657494,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 29094322}]","[{'src': 'hda', 'id': 29094322}]","""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,37145063,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-10 06:48:32.263466,103605,255537.71377300002
1249520013,bam,2323323375,bam,2017-05-03 14:05:46.610864,slurm_multi,,main_w3_handler2,3095859,15735488,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9861091,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 29447475}]","[{'src': 'hda', 'id': 29447473}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""",7,2.0,1.0,2150570000,1x,,subtract,"""mm10""","""bigwig""","""""",1,readCount,,37725112,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-05-06 08:19:03.728255,40410,238397.117391
62390254,bam,38849530,bam,2017-06-15 22:14:55.353674,slurm_multi,,main_w4_handler2,2495827,16112637,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10200991,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 30033340}]","[{'src': 'hda', 'id': 30033345}]","""50""","""/galaxy-repl/localdata/chrom/mm8.len""",0,,,,,1.0,log2,"""mm8""","""bedgraph""","""""",1,readCount,,38141080,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-18 08:18:38.411698,72705,209023.05802400003
72182724,bam,38849530,bam,2017-06-15 22:15:28.661199,slurm_multi,,main_w4_handler2,2495827,16112640,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10205941,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 30033342}]","[{'src': 'hda', 'id': 30033345}]","""50""","""/galaxy-repl/localdata/chrom/mm8.len""",0,,,,,1.0,log2,"""mm8""","""bedgraph""","""""",1,readCount,,38141080,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-19 20:23:44.685309,72705,338896.02411
16432191146,bam,16399721027,bam,2017-06-19 18:08:17.171229,slurm_multi,,main_w3_handler2,2808995,16135073,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10214791,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28386419}]","[{'src': 'hda', 'id': 28537086}]","""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,38081547,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-21 06:32:57.759821,89389,131080.58859200001
38445420,bam,38849530,bam,2017-06-15 22:15:43.827907,slurm_multi,,main_w4_handler2,2495827,16112641,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10216109,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 30033344}]","[{'src': 'hda', 'id': 30033345}]","""50""","""/galaxy-repl/localdata/chrom/mm8.len""",0,,,,,1.0,log2,"""mm8""","""bedgraph""","""""",1,readCount,,38141080,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-21 08:27:58.260977,72705,468734.43307
72182724,bam,38849530,bam,2017-06-19 22:33:34.904206,slurm_multi,,main_w3_handler2,2495827,16137370,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10230158,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 30033342}]","[{'src': 'hda', 'id': 30033345}]","""50""","""/galaxy-repl/localdata/chrom/mm8.len""",0,,,,,1.0,log2,"""mm8""","""bedgraph""","""""",1,readCount,,38141080,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-22 20:34:13.399866,72705,252038.49566000002
62390254,bam,38849530,bam,2017-06-19 22:30:42.353759,slurm_multi,,main_w4_handler2,2495827,16137353,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10245682,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 30033340}]","[{'src': 'hda', 'id': 30033345}]","""50""","""/galaxy-repl/localdata/chrom/mm8.len""",0,,,,,1.0,log2,"""mm8""","""bedgraph""","""""",1,readCount,,38141080,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-25 06:19:02.516059,72705,460100.1623
10376434596,bam,14916546280,bam,2017-06-27 23:44:09.265215,slurm_multi,,main_w4_handler2,3141139,16206121,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10282520,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 30166185}]","[{'src': 'hda', 'id': 30166184}]","""50""","""/galaxy-repl/localdata/chrom/?.len""",0,,,,,1.0,log2,"""?""","""bigwig""","""""",1,readCount,,38957667,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-29 11:44:41.440617,30016,129632.17540200001
