bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
116501737,bam,2016-10-15 10:03:25.929331,slurm_multi,,main_w3_handler2,2854790,14087984,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8304542,slurm,,corral-repl,,0,no,"""9b2d081e92be11e69138005056a51846""",false,1,false,2.0,custom,150,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d911ea8d8813596a'}]","""25""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,1.0,rpkm,,33421564,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-10-16 22:15:47.247431,64365,130341.3181
116501737,bam,2016-10-17 10:22:16.854614,slurm_multi,,main_w3_handler2,2854790,14097437,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8312784,slurm,,corral-repl,,0,no,,false,1,false,2.0,custom,150,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d911ea8d8813596a'}]","""25""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,1.0,rpkm,,33650316,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-10-18 22:25:52.823014,64365,129815.96840000001
2305771,bam,2016-09-20 23:21:09.387203,slurm_multi,,main_w3_handler2,2825763,13901094,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8123923,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a1c4641457f0435'}]","""10""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",0,,,1.0,rpkm,,32449252,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-22 11:23:00.126672,48811,129710.73946900001
3996060,bam,2016-06-02 05:17:26.701716,slurm_multi,,main_w1_handler2,2723878,13046160,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7232214,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b9a69ae102ac225'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,1.0,2150570000,1.0,1x,,30571611,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-03 18:34:59.047515,85332,134252.345799
4191109,bam,2016-06-02 05:53:25.626879,slurm_multi,,main_w1_handler2,2723839,13046626,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7232414,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada2e28fbcbed6e2'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,30572091,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-03 18:48:59.099530,85315,132933.47265100002
4191109,bam,2016-06-02 06:17:39.233349,slurm_multi,,main_w1_handler2,2723839,13046790,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7249409,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada2e28fbcbed6e2'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,30572091,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-05 06:49:45.271321,85315,261126.03797200002
4167537,bam,2016-06-02 05:33:36.720449,slurm_multi,,main_w2_handler2,2723847,13046289,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7231779,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b559c7f8beb3795d3f'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,30571585,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-03 18:06:58.427326,85322,131601.70687700002
3718574,bam,2016-06-08 06:08:57.487894,slurm_multi,,main_w2_handler2,2723848,13104199,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7290253,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52b155039d9356787'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,30720408,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-09 18:12:25.607251,85323,129808.119357
116500357,bam,2016-09-25 16:02:28.139515,slurm_multi,,main_w4_handler2,2830365,13936648,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8159158,slurm,,corral-repl,,0,no,,false,1,false,2.0,custom,150,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59b641946c536f9fc'}]","""25""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,1.0,rpkm,,32404316,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-27 04:06:07.110775,64365,129818.97126
4963646,bam,2016-06-16 02:19:50.123736,slurm_multi,,main_w1_handler2,2739635,13177561,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7362229,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b566ef5f362a59ba5c'}]","""50""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,2451960000,1.0,1x,,30894227,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 14:20:28.379974,85306,129638.256238
