create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.__current_case__,parameters.analysis_type.algorithmic_options.__current_case__,parameters.analysis_type.algorithmic_options.algorithmic_options_selector,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.io_options.C,parameters.analysis_type.io_options.M,parameters.analysis_type.io_options.T,parameters.analysis_type.io_options.V,parameters.analysis_type.io_options.Y,parameters.analysis_type.io_options.__current_case__,parameters.analysis_type.io_options.a,parameters.analysis_type.io_options.h,parameters.analysis_type.io_options.io_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.fastq_input.__current_case__,parameters.fastq_input.fastq_input1.values,parameters.fastq_input.fastq_input2.values,parameters.fastq_input.fastq_input_selector,parameters.fastq_input.iset_stats,parameters.reference_source.__current_case__,parameters.reference_source.index_a,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rg.CN,parameters.rg.DS,parameters.rg.DT,parameters.rg.FO,parameters.rg.KS,parameters.rg.PG,parameters.rg.PI,parameters.rg.PL,parameters.rg.PU,parameters.rg.__current_case__,parameters.rg.read_group_id_conditional.ID,parameters.rg.read_group_id_conditional.__current_case__,parameters.rg.read_group_id_conditional.do_auto_name,parameters.rg.read_group_lb_conditional.LB,parameters.rg.read_group_lb_conditional.__current_case__,parameters.rg.read_group_lb_conditional.do_auto_name,parameters.rg.read_group_sm_conditional.SM,parameters.rg.read_group_sm_conditional.__current_case__,parameters.rg.read_group_sm_conditional.do_auto_name,parameters.rg.rg_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-29 10:59:00.096515,slurm_multi_dynamic_walltime,,73009130734,fastqsanger,73009130734.0,fastqsanger,main_w1_handler2,2547741,13286109,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7480225,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d9fc8328e196f73d'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5715f045a36112f13'}]",paired,,0,,loxAfr3,,cached,,,,,,,,,,3,,,,,,,,,,do_not_set,,,,30729326,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2016-06-30 23:01:05.957065,51094,129725.86055000001
2017-01-20 09:26:39.507965,slurm_multi_dynamic_walltime,,930227181,fastqsanger,833773771.0,fastqsanger,main_w3_handler2,2726374,14827574,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8988305,slurm,,corral-repl,,1,yes,slurm_multi,2,1.0,do_not_set,full,false,false,10,false,false,0.0,true,5,set,1.0,do_not_set,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 27989208}]","[{'src': 'hda', 'id': 27989209}]",paired,408,1,auto,,"[{'src': 'hda', 'id': 27995527}]",history,,,,,,,,ILLUMINA,,1,pop1,1.0,false,library2,1.0,false,BR,1.0,false,set,1919181487.0,fasta,,33869962,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-01-21 21:30:53.227471,85433,129853.71950600001
2017-01-23 07:48:57.014565,slurm_multi_dynamic_walltime,,1119482089,fastqsanger,1055249917.0,fastqsanger,main_w4_handler2,2726374,14844096,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9004265,slurm,,corral-repl,,1,yes,pulsar_stampede_normal,2,1.0,do_not_set,full,false,false,10,false,false,0.0,true,5,set,1.0,do_not_set,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 27989205}]","[{'src': 'hda', 'id': 27989206}]",paired,489,1,auto,,"[{'src': 'hda', 'id': 27995527}]",history,,,,,,,,ILLUMINA,,1,pop1,1.0,false,library1,1.0,false,B,1.0,false,set,1919181487.0,fasta,,35529756,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-01-24 19:53:46.878413,85433,129889.86384800001
2017-03-02 09:25:36.374332,slurm_multi_dynamic_walltime,,1143123126,fastqsanger,1158781318.0,fastqsanger,main_w3_handler2,3014722,15186333,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9337271,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 28569512}]","[{'src': 'hda', 'id': 28569511}]",paired,489,1,auto,,"[{'src': 'hda', 'id': 28581573}]",history,,,,,,,,ILLUMINA,,1,pop1,1.0,false,library1,1.0,false,B,1.0,false,set,1919181487.0,fasta,,36382808,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-03-03 21:30:03.181878,85433,129866.80754600001
2017-03-02 09:26:28.577406,slurm_multi_dynamic_walltime,,952081515,fastqsanger,961303247.0,fastqsanger,main_w3_handler2,3014722,15186370,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9337288,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 28569513}]","[{'src': 'hda', 'id': 28569514}]",paired,,1,auto,,"[{'src': 'hda', 'id': 28581573}]",history,,,,,,,,ILLUMINA,,1,pop2,1.0,false,library2,1.0,false,BR,1.0,false,set,1919181487.0,fasta,,36382808,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-03-03 21:32:32.430273,85433,129963.85286700001
2017-03-15 23:34:22.542915,slurm_multi_development,,5534252754,fastqsanger,,,main_w4_handler2,3032932,15307945,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9450273.roundup,slurm,,corral-repl,,1,yes,slurm_multi_development,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",3,"[{'src': 'hda', 'id': 28775361}]",,paired_iv,500,0,,mm9,,cached,,,,,,,,,,3,,,,,,,,,,do_not_set,,,,36649929,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-03-16 00:12:22.295950,44428,2279.753035
2017-03-15 23:35:11.911082,slurm_multi_development,,5724813618,fastqsanger,,,main_w4_handler2,3032932,15307949,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9450411.roundup,slurm,,corral-repl,,1,yes,slurm_multi_development,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",3,"[{'src': 'hda', 'id': 28775362}]",,paired_iv,500,0,,mm9,,cached,,,,,,,,,,3,,,,,,,,,,do_not_set,,,,36649929,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-03-16 00:44:54.950974,44428,4183.039892000001
2017-05-12 19:26:39.774996,reserved_multi,,1922300642,fastqsanger,1922300642.0,fastqsanger,main_w3_handler2,3109187,15826795,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9929097.roundup,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29583515}]","[{'src': 'hda', 'id': 29583516}]",paired,,1,auto,,"[{'src': 'hda', 'id': 29583544}]",history,,,,,,,,,,3,,,,,,,,,,do_not_set,2060579432.0,fasta,,37591862,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-05-17 13:27:48.289240,5254,410468.514244
2017-05-12 19:28:23.167514,reserved_multi,,1922300642,fastqsanger,1922300642.0,fastqsanger,main_w3_handler2,3109187,15826802,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9929104.roundup,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29583515}]","[{'src': 'hda', 'id': 29583516}]",paired,,1,auto,,"[{'src': 'hda', 'id': 29583674}]",history,,,,,,,,,,3,,,,,,,,,,do_not_set,2075975511.0,fasta,,37591862,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-05-17 13:27:47.876882,5254,410364.70936800004
2017-05-12 19:28:40.426392,reserved_multi,,1922300642,fastqsanger,1922300642.0,fastqsanger,main_w3_handler2,3109187,15826803,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9929105.roundup,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29583515}]","[{'src': 'hda', 'id': 29583516}]",paired,,1,auto,,"[{'src': 'hda', 'id': 29583678}]",history,,,,,,,,,,3,,,,,,,,,,do_not_set,2075975511.0,fasta,,37591862,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-05-17 13:27:47.369223,5254,410346.942831
2017-05-12 19:24:04.340549,reserved_multi,,1922300642,fastqsanger,1922300642.0,fastqsanger,main_w4_handler2,3109187,15826755,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9929076.roundup,slurm,,corral-repl,,0,no,,0,,,illumina,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29583515}]","[{'src': 'hda', 'id': 29583516}]",paired,,1,auto,,"[{'src': 'hda', 'id': 29583544}]",history,,,,,,,,,,3,,,,,,,,,,do_not_set,2060579432.0,fasta,,37591862,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.12.1,0.7.12.1,,2017-05-17 13:31:45.630671,5254,410861.29012200003
