bias_correction|ref_file,bias_correction|ref_file_filetype,create_time,destination_id,exit_code,global_model,global_model_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advanced_settings.__current_case__,parameters.advanced_settings.inner_dist_std_dev,parameters.advanced_settings.inner_mean_dist,parameters.advanced_settings.junc_alpha,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_bundle_length,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_intron_length,parameters.advanced_settings.overhang_tolerance,parameters.advanced_settings.small_anchor_fraction,parameters.advanced_settings.trim_three_avgcov_thresh,parameters.advanced_settings.trim_three_dropoff_frac,parameters.advanced_settings.use_advanced_settings,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.dbkey,parameters.global_model,parameters.global_model.values,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.length_correction,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.compatible_hits_norm,parameters.reference_annotation.intron_overhang_tolerance,parameters.reference_annotation.no_faux_reads,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_file.values,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.reference_annotation_guide_file.values,parameters.reference_annotation.three_overhang_tolerance,parameters.reference_annotation.use_ref,ref_file,ref_file_filetype,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-10-23 18:54:16.765578,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2482093,10705954,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5683374291,bam,4967814,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,21701086,,,"""""","""3000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25190917.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-10-25 07:27:23.695460,69259,131586.929882
,,2015-07-28 02:01:08.859375,slurm_multi_dynamic_walltime,,,,main_w2_handler2,1705430,10012917,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10375138883,bam,4295058,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,,20082342,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,24347768.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-07-29 14:01:59.920109,41846,129651.06073400001
,,2015-09-16 02:29:10.235775,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2435143,10329212,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3236393040,bam,4612973,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,21111266,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25119242.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-17 14:29:50.764320,68397,129640.52854500001
,,2015-06-12 07:40:17.548714,slurm_multi_development,,,,main_w2_handler2,2321448,9640162,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5585438913,bam,3951209.roundup,slurm,,,,corral-repl,,1,yes,slurm_multi_development,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,19981170,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,19981735.0,,600,Use reference annotation guide,,,,,71577378.0,gtf,,23592835.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-06-12 08:11:11.329269,61223,1853.780555
,,2015-06-12 07:40:30.077198,slurm_multi_development,,,,main_w2_handler2,2321448,9640165,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6159846662,bam,3951461.roundup,slurm,,,,corral-repl,,1,yes,slurm_multi_development,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,19981617,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,19981735.0,,600,Use reference annotation guide,,,,,71577378.0,gtf,,23592835.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-06-12 09:12:13.876767,61223,5503.799569000001
,,2015-06-12 07:40:25.587143,slurm_multi_development,,,,main_w2_handler2,2321448,9640164,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6506621189,bam,3951317.roundup,slurm,,,,corral-repl,,1,yes,slurm_multi_development,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,19981171,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,19981735.0,,600,Use reference annotation guide,,,,,71577378.0,gtf,,23592835.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-06-12 08:41:41.803367,61223,3676.2162240000002
,,2015-06-12 07:40:36.005650,slurm_multi_development,,,,main_w2_handler2,2321448,9640166,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7357576524,bam,3951741.roundup,slurm,,,,corral-repl,,1,yes,slurm_multi_development,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,19981673,,,"""""","""300000""","""0.1""","""No""","""0.15""",2,,50,,,,19981735.0,,600,Use reference annotation guide,,,,,71577378.0,gtf,,23592835.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-06-12 09:42:42.863846,61223,7326.858196
,,2015-07-12 07:08:38.741128,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2198519,9842625,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13087625224,bam,4138598,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg38,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,,20190284,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,24104178.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-07-13 19:09:34.569525,49259,129655.828397
,,2015-09-16 02:29:50.853737,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2435143,10329215,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2848994003,bam,4612977,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,21111279,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25119242.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-17 14:30:44.756532,68397,129653.902795
,,2015-09-16 02:29:30.303460,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2435143,10329214,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4449384476,bam,4612975,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,21111272,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25119242.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-17 14:30:12.328315,68397,129642.02485500001
