chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1_file,input1_file_filetype,input2_file,input2_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1_file.values,parameters.input1_file|__identifier__,parameters.input2_file.values,parameters.input2_file|__identifier__,parameters.paste_sequence,parameters.style,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
18.0,len,2017-03-07 15:22:33.338605,slurm_normal_16gb,,main_w4_handler1,2938231,15231371,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",544800080,fastqsanger,544800080,fastqsanger,9476813.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729675}]","""forward""","[{'src': 'hda', 'id': 27729675}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-20 17:04:38.027772,64744,1129324.6891670001
,,2016-10-25 05:47:54.586483,slurm_normal_16gb,,main_w4_handler1,2744714,14164778,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5094882290,fastqsanger,5094882290,fastqsanger,8377293.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dfd59433808b54ef'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dfd59433808b54ef'}]",,"""""","""old""",,33888144,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2016-10-26 05:48:29.456081,86398,86434.869598
18.0,len,2017-03-07 15:22:33.808405,slurm_normal_16gb,,main_w3_handler0,2938231,15231372,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",541612028,fastqsanger,541612028,fastqsanger,9484836.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729676}]","""reverse""","[{'src': 'hda', 'id': 27729676}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-21 17:04:47.581082,64744,1215733.7726770001
,,2016-11-06 18:49:35.511821,slurm_normal_16gb,,main_w4_handler1,2882386,14265767,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",14236847626,fastqsanger,14236847626,fastqsanger,8474161.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5608bdce182c4a9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5608bdce182c4a9'}]",,"""""","""old""",,34109717,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2016-11-07 18:50:08.150138,86398,86432.638317
18.0,len,2017-03-07 15:22:36.694848,slurm_normal_16gb,,main_w3_handler1,2938231,15231379,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",484018118,fastqsanger,484018118,fastqsanger,9484835.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729682}]","""reverse""","[{'src': 'hda', 'id': 27729682}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-21 17:04:45.124332,64744,1215728.429484
18.0,len,2017-03-07 15:22:34.709028,slurm_normal_16gb,,main_w3_handler0,2938231,15231374,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",457007326,fastqsanger,457007326,fastqsanger,9496022.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729678}]","""reverse""","[{'src': 'hda', 'id': 27729678}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-22 17:38:35.965703,64744,1304161.256675
18.0,len,2017-03-07 15:22:35.249841,slurm_normal_16gb,,main_w3_handler0,2938231,15231375,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",502777899,fastqsanger,502777899,fastqsanger,9507196.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729679}]","""forward""","[{'src': 'hda', 'id': 27729679}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-23 17:39:10.201782,64744,1390594.951941
18.0,len,2017-03-07 15:22:35.777533,slurm_normal_16gb,,main_w4_handler1,2938231,15231377,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",499520280,fastqsanger,499520280,fastqsanger,9516110.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729680}]","""reverse""","[{'src': 'hda', 'id': 27729680}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-24 17:39:45.447137,64744,1477029.6696040002
18.0,len,2017-03-07 15:22:39.060300,slurm_normal_16gb,,main_w3_handler0,2938231,15231384,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",580213993,fastqsanger,580213993,fastqsanger,9516109.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729688}]","""reverse""","[{'src': 'hda', 'id': 27729688}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-24 17:39:45.433568,64744,1477026.373268
18.0,len,2017-03-07 15:22:43.011424,slurm_normal_16gb,,main_w3_handler0,2938231,15231393,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",431614420,fastqsanger,431614420,fastqsanger,9531329.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729697}]","""reverse""","[{'src': 'hda', 'id': 27729697}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-26 17:40:33.882310,64744,1649870.870886
18.0,len,2017-03-07 15:22:27.822349,slurm_normal_16gb,,main_w4_handler0,2938231,15231359,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",467956523,fastqsanger,467956523,fastqsanger,9531328.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729662}]","""reverse""","[{'src': 'hda', 'id': 27729662}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-26 17:40:33.456027,64744,1649885.6336780002
18.0,len,2017-03-07 15:22:37.774360,slurm_normal_16gb,,main_w4_handler1,2938231,15231381,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",668597694,fastqsanger,668597694,fastqsanger,9531327.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729686}]","""reverse""","[{'src': 'hda', 'id': 27729686}]","""reverse""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-26 17:40:33.348363,64744,1649875.574003
18.0,len,2017-03-07 15:22:36.194350,slurm_normal_16gb,,main_w4_handler0,2938231,15231378,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",486432037,fastqsanger,486432037,fastqsanger,9535177.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729681}]","""forward""","[{'src': 'hda', 'id': 27729681}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-27 20:25:09.874630,64744,1746153.6802800002
18.0,len,2017-03-07 15:22:39.501146,slurm_normal_16gb,,main_w3_handler0,2938231,15231385,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",553687421,fastqsanger,553687421,fastqsanger,9525776.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729689}]","""forward""","[{'src': 'hda', 'id': 27729689}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-25 17:40:19.071217,64744,1563459.5700710001
,,2017-03-25 23:36:02.297686,slurm_normal_16gb,,main_w3_handler0,3045941,15396874,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",23313207910,fastqsanger,23313207910,fastqsanger,9532294.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28925855}]",,"[{'src': 'hda', 'id': 28925855}]",,"""""","""old""",,36875989,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-26 23:36:33.780651,102851,86431.482965
18.0,len,2017-03-07 15:22:37.142346,slurm_normal_16gb,,main_w4_handler0,2938231,15231380,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",672573501,fastqsanger,672573501,fastqsanger,9543590.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/018/281/dataset_18281548.dat""","""?""","[{'src': 'hda', 'id': 27729683}]","""forward""","[{'src': 'hda', 'id': 27729683}]","""forward""","""""","""old""",,35053481,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1,2.0.1,,2017-03-29 10:41:07.751555,64744,1883910.6092090001
