create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams16,input_bams16_filetype,input_bams17,input_bams17_filetype,input_bams18,input_bams18_filetype,input_bams19,input_bams19_filetype,input_bams1_filetype,input_bams2,input_bams20,input_bams20_filetype,input_bams21,input_bams21_filetype,input_bams22,input_bams22_filetype,input_bams23,input_bams23_filetype,input_bams24,input_bams24_filetype,input_bams25,input_bams25_filetype,input_bams26,input_bams26_filetype,input_bams27,input_bams27_filetype,input_bams28,input_bams28_filetype,input_bams29,input_bams29_filetype,input_bams2_filetype,input_bams3,input_bams30,input_bams30_filetype,input_bams31,input_bams31_filetype,input_bams32,input_bams32_filetype,input_bams33,input_bams33_filetype,input_bams34,input_bams34_filetype,input_bams35,input_bams35_filetype,input_bams36,input_bams36_filetype,input_bams37,input_bams37_filetype,input_bams38,input_bams38_filetype,input_bams39,input_bams39_filetype,input_bams3_filetype,input_bams4,input_bams40,input_bams40_filetype,input_bams41,input_bams41_filetype,input_bams42,input_bams42_filetype,input_bams43,input_bams43_filetype,input_bams44,input_bams44_filetype,input_bams45,input_bams45_filetype,input_bams46,input_bams46_filetype,input_bams4_filetype,input_bams5,input_bams5_filetype,input_bams6,input_bams6_filetype,input_bams7,input_bams7_filetype,input_bams8,input_bams8_filetype,input_bams9,input_bams9_filetype,input_bams_filetype,input_target_bed,input_target_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.options_type.O,parameters.options_type.__current_case__,parameters.options_type.algorithmic_features.B,parameters.options_type.algorithmic_features.D,parameters.options_type.algorithmic_features.H,parameters.options_type.algorithmic_features.N,parameters.options_type.algorithmic_features.W,parameters.options_type.algorithmic_features.__current_case__,parameters.options_type.algorithmic_features.algorithmic_features_selector,parameters.options_type.algorithmic_features.genotype_qualities,parameters.options_type.algorithmic_features.genotype_variant_threshold.__current_case__,parameters.options_type.algorithmic_features.genotype_variant_threshold.genotype_variant_threshold_selector,parameters.options_type.algorithmic_features.genotyping_max_banddepth,parameters.options_type.algorithmic_features.j,parameters.options_type.algorithmic_features.report_genotype_likelihood_max,parameters.options_type.allele_scope.I,parameters.options_type.allele_scope.X,parameters.options_type.allele_scope.__current_case__,parameters.options_type.allele_scope.allele_scope_selector,parameters.options_type.allele_scope.haplotype_length,parameters.options_type.allele_scope.i,parameters.options_type.allele_scope.min_repeat_entropy,parameters.options_type.allele_scope.min_repeat_length,parameters.options_type.allele_scope.n,parameters.options_type.allele_scope.no_partial_observations,parameters.options_type.allele_scope.u,parameters.options_type.genotype_likelihoods.__current_case__,parameters.options_type.genotype_likelihoods.genotype_likelihoods_selector,parameters.options_type.input_filters.C,parameters.options_type.input_filters.F,parameters.options_type.input_filters.G,parameters.options_type.input_filters.R,parameters.options_type.input_filters.Y,parameters.options_type.input_filters.__current_case__,parameters.options_type.input_filters.e,parameters.options_type.input_filters.input_filters_selector,parameters.options_type.input_filters.m,parameters.options_type.input_filters.min_alternate_qsum,parameters.options_type.input_filters.min_coverage,parameters.options_type.input_filters.mismatch_filters.__current_case__,parameters.options_type.input_filters.mismatch_filters.mismatch_filters_selector,parameters.options_type.input_filters.q,parameters.options_type.input_filters.standard_filters,parameters.options_type.input_filters.use_duplicate_reads,parameters.options_type.min_coverage,parameters.options_type.optional_inputs.__current_case__,parameters.options_type.optional_inputs.optional_inputs_selector,parameters.options_type.options_type_selector,parameters.options_type.population_mappability_priors.__current_case__,parameters.options_type.population_mappability_priors.population_mappability_priors_selector,parameters.options_type.population_model.J,parameters.options_type.population_model.K,parameters.options_type.population_model.P,parameters.options_type.population_model.T,parameters.options_type.population_model.__current_case__,parameters.options_type.population_model.population_model_selector,parameters.options_type.reference_allele.Z,parameters.options_type.reference_allele.__current_case__,parameters.options_type.reference_allele.reference_allele_selector,parameters.options_type.reference_allele.reference_quality,parameters.options_type.reporting.__current_case__,parameters.options_type.reporting.pvar,parameters.options_type.reporting.reporting_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.input_target_bed.values,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-01 18:19:16.771315,slurm_normal,,main_w4_handler1,3132943,15991238,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17339679,17339679,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10086073.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/arabidopsis.len""","""arabidopsis""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 29852427}]",Arabidopsis_thaliana_TAIR9,,cached,0,,do_not_limit,,,,38066441.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-03 06:19:40.438102,106208,129623.66678700001
2017-06-18 15:17:45.118867,slurm_normal,,main_w4_handler1,3023406,16125932,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5622048,5622048,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10208176.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30061681}]",,"[{'src': 'hda', 'id': 29133758}]",history,0,,do_not_limit,13724148371.0,fasta,,38740385.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-20 12:38:54.187890,100482,163269.06902300002
2017-06-04 12:37:20.931198,slurm_normal,,main_w3_handler1,3139455,16008946,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",72990195,72990195,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,148334412.0,bed,10102256.roundup,slurm,,corral-repl,,"""89b2f7f4492211e7b623005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 29882867}]",hg38,,cached,1,"[{'src': 'hda', 'id': 29882869}]",limit_by_target_file,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-06 00:46:22.549597,102549,130141.61839900001
2017-06-17 18:04:43.047471,slurm_normal,,main_w3_handler1,3023406,16122671,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5622048,5622048,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10203986.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30061681}]",,"[{'src': 'hda', 'id': 29133758}]",history,0,,do_not_limit,13724148371.0,fasta,,38740385.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-19 06:05:09.374212,100482,129626.32674100001
2017-06-06 08:33:58.862954,slurm_normal,,main_w4_handler0,3139455,16023926,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",72989554,72989554,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,148334412.0,bed,10115653.roundup,slurm,,corral-repl,,"""df19bd6a4a9211e79e39005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,0,"[{'src': 'hda', 'id': 29905316}]",hg38,,cached,1,"[{'src': 'hda', 'id': 29882869}]",limit_by_target_file,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-07 20:44:40.437432,102549,130241.57447800001
2017-06-20 04:31:09.799850,slurm_normal,,main_w3_handler1,2836876,16139266,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5622048,5622048,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10218975.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30090061}]",,"[{'src': 'hda', 'id': 30090078}]",history,0,,do_not_limit,13724148371.0,fasta,,38795840.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-21 16:31:33.343732,77693,129623.54388200001
2017-06-20 05:29:30.863374,slurm_normal,,main_w3_handler1,3023406,16139456,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5612771,5612771,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10219190.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30090778}]",,"[{'src': 'hda', 'id': 29133758}]",history,0,,do_not_limit,13724148371.0,fasta,,38797375.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-21 17:30:05.672738,100482,129634.80936400002
2017-06-14 15:00:40.267197,slurm_normal,,main_w3_handler0,3153615,16100411,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15399879981,15399879981,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10184847.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,simple_w_filters,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30022818}]",,"[{'src': 'hda', 'id': 30015776}]",history,0,,do_not_limit,371864213.0,fasta,,37199580.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-16 03:13:24.381280,17244,130364.11408300001
2017-06-14 02:51:53.761226,slurm_normal,,main_w4_handler0,3023406,16095736,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1369974917,1369974917,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10181050.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30014992}]",,"[{'src': 'hda', 'id': 29133758}]",history,0,,do_not_limit,13724148371.0,fasta,,38603343.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-15 14:52:18.694615,100482,129624.93338900001
2017-06-15 17:10:39.902840,slurm_normal,,main_w4_handler1,2804944,16111024,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",41260575,41260575,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,10194175.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 30036072}]",,"[{'src': 'hda', 'id': 28044638}]",history,0,,do_not_limit,13724148371.0,fasta,,38695226.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.0.2.29-3,1.0.2.29-3,,2017-06-17 05:11:02.293905,89189,129622.391065
