create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_target_bed,input_target_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.options_type.__current_case__,parameters.options_type.min_coverage,parameters.options_type.options_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.batchmode.__current_case__,parameters.reference_source.batchmode.input_bams.values,parameters.reference_source.batchmode.processmode,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.input_target_bed.values,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,reference_source|input_bams,reference_source|input_bams1,reference_source|input_bams1_filetype,reference_source|input_bams2,reference_source|input_bams2_filetype,reference_source|input_bams_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-16 12:40:35.654756,slurm_normal,,main_w4_handler0,2814112,18410325,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12496318,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",4,10,naive_w_filters,0,0,"[{'src': 'hda', 'id': 33893766}]",individual,Arabidopsis_thaliana_TAIR10,,cached,0,,do_not_limit,,,1846383151,,,,,bam,,43628826,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-02-18 00:40:58.968483,28313,129623.31372700002
2018-03-02 19:15:29.625953,slurm_normal,,main_w4_handler0,3424032,18585372,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12680136,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,0,"[{'src': 'hda', 'id': 33779436}]",individual,hg19,,cached,1,"[{'src': 'hda', 'id': 33779142}]",limit_by_target_file,,,1947,,,,,bam,,43812969,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-04 07:15:48.234114,121223,129618.60816100001
2018-03-02 19:14:24.772827,slurm_normal,,main_w3_handler1,3424001,18585358,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12680120,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,1,"[{'src': 'hda', 'id': 34052186}, {'src': 'hda', 'id': 34052187}]",merge,hg19,,cached,1,"[{'src': 'hda', 'id': 33778981}]",limit_by_target_file,,,4282891006,4282891006.0,bam,3759405914.0,bam,bam,,43962823,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-04 07:15:17.883342,115068,129653.11051500001
2018-03-02 20:09:23.202485,slurm_normal,,main_w4_handler0,3424032,18585909,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12680749,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,0,"[{'src': 'hda', 'id': 33779436}]",individual,hg19,,cached,1,"[{'src': 'hda', 'id': 33779142}]",limit_by_target_file,,,1947,,,,,bam,,43812969,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-04 08:10:18.420422,121223,129655.21793700001
2018-03-02 22:07:30.939650,slurm_normal,,main_w4_handler1,3449178,18587197,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12682132,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,1,"[{'src': 'hda', 'id': 34175004}]",merge,hg19,,cached,1,"[{'src': 'hda', 'id': 34166668}]",limit_by_target_file,,,9160510234,9160510234.0,bam,,,bam,,44285653,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-04 10:07:48.322831,123162,129617.38318100001
2018-03-02 19:24:03.157599,slurm_normal,,main_w3_handler1,3432131,18585452,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12682120,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,0,"[{'src': 'hda', 'id': 34177253}]",individual,hg19,,cached,1,"[{'src': 'hda', 'id': 33904477}]",limit_by_target_file,,,10969553462,,,,,bam,,43647241,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-04 10:06:48.643784,121225,139365.48618500002
2018-03-05 16:57:44.739249,slurm_normal,,main_w4_handler0,3424032,18612712,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12708507,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,0,"[{'src': 'hda', 'id': 33779436}]",individual,hg19,,cached,1,"[{'src': 'hda', 'id': 33779142}]",limit_by_target_file,,,1947,,,,,bam,,43812969,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-07 04:58:07.618653,121223,129622.879404
2018-03-05 05:10:17.021848,slurm_normal,,main_w4_handler0,3424028,18605556,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12700844,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,1,"[{'src': 'hda', 'id': 34177764}]",merge,hg19,,cached,1,"[{'src': 'hda', 'id': 33779116}]",limit_by_target_file,,,5261072849,5261072849.0,bam,,,bam,,43647343,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-03-06 17:10:36.732297,121226,129619.710449
2018-02-16 12:40:05.785653,slurm_normal,,main_w3_handler1,2814112,18410322,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12496316,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",4,8,naive_w_filters,0,0,"[{'src': 'hda', 'id': 33893766}]",individual,Arabidopsis_thaliana_TAIR10,,cached,0,,do_not_limit,,,1846383151,,,,,bam,,43628826,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-02-18 00:40:29.121660,28313,129623.336007
2018-02-16 12:38:58.099194,slurm_normal,,main_w3_handler1,2814112,18410318,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12496309,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",4,5,naive_w_filters,0,0,"[{'src': 'hda', 'id': 33893766}]",individual,Arabidopsis_thaliana_TAIR10,,cached,0,,do_not_limit,,,1846383151,,,,,bam,,43628826,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-02-18 00:39:28.071691,28313,129629.97249700001
2018-02-16 19:21:33.324569,slurm_normal,,main_w4_handler0,3424026,18414810,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",323349.0,bed,12501088,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,,simple,0,1,"[{'src': 'hda', 'id': 33869059}, {'src': 'hda', 'id': 33887286}]",merge,hg19,,cached,1,"[{'src': 'hda', 'id': 33779229}]",limit_by_target_file,,,23427,23427.0,bam,26531.0,bam,bam,,43649320,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-02-18 07:22:06.095297,121232,129632.770728
2018-02-16 12:41:02.419839,slurm_normal,,main_w3_handler1,2814112,18410331,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12496323,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",4,15,naive_w_filters,0,0,"[{'src': 'hda', 'id': 33893766}]",individual,Arabidopsis_thaliana_TAIR10,,cached,0,,do_not_limit,,,1846383151,,,,,bam,,43628826,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0,1.1.0.46-0,,2018-02-18 00:41:28.967827,28313,129626.547988
