create_time,destination_id,exit_code,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.analysis_param_type.maxIntervalSize,parameters.analysis_param_type.minReadsAtLocus,parameters.analysis_param_type.mismatchFraction,parameters.analysis_param_type.windowSize,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rod_bind,ref_file,ref_file_filetype,rod_bind_0|input_rod,rod_bind_0|input_rod_filetype,rod_bind_1|input_rod,rod_bind_1|input_rod_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-24 22:17:40.210751,slurm_normal_16gb,,,,main_w2_handler1,2411009,10192570,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4310679676,bam,42533263.0,bed,4461532.roundup,slurm,,corral-repl,,,1,advanced,500,4,0.0,10,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 20854138, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,1,20864319.0,,20894273,,history,"[{""__index__"": 0, ""rod_bind_type"": {""rod_bind_type_selector"": ""dbsnp"", ""__current_case__"": 0, ""input_rod"": 20867605}}, {""__index__"": 1, ""rod_bind_type"": {""rod_bind_type_selector"": ""indels"", ""__current_case__"": 2, ""input_rod"": 20867606}}]",3137164109.0,fasta,7572857398.0,vcf,90199019.0,vcf,,24818130.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2015-08-25 22:18:30.394741,68003,86450.18399
2016-10-18 09:30:44.900193,slurm_normal_16gb,,7572857398.0,vcf,main_w4_handler0,2852045,14106014,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",29917842,bam,,,8326534.roundup,slurm,,corral-repl,,"""878d82b2951511e6a217005056a52a46""",0,basic,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5ffd5302605e9ba70'}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54513519ed0c0c95c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc672a53e82a3513'}]",history,[],3199905909.0,fasta,,,,,,33475275.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2016-10-19 20:43:02.991126,87422,126738.09093300001
2017-04-09 00:04:22.245213,slurm_normal_16gb,,36421731.0,bed,main_w4_handler0,3058652,15532237,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1567,bam,,,9659062.roundup,slurm,,corral-repl,,"""1229e03a1cb811e7b7d6005056a52a46""",0,basic,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 29060445}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,0,,"[{'src': 'hda', 'id': 29136595}]",hg_g1k_v37,,cached,"[{""__index__"": 0, ""rod_bind_type"": {""rod_bind_type_selector"": ""dbsnp"", ""__current_case__"": 0, ""input_rod"": {""values"": [{""src"": ""hda"", ""id"": 29060444}]}}}, {""__index__"": 1, ""rod_bind_type"": {""rod_bind_type_selector"": ""indels"", ""__current_case__"": 2, ""input_rod"": {""values"": [{""src"": ""hda"", ""id"": 29060444}]}}}]",,,86369975.0,vcf,86369975.0,vcf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2017-04-10 05:38:29.035784,58799,106446.790571
2017-06-08 06:39:57.205379,slurm_normal_16gb,,7572857398.0,vcf,main_w3_handler0,3113653,16049455,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37687544,bam,,,10139536.roundup,slurm,,corral-repl,,"""40ecaa7e4c1511e7a72e005056a51846""",0,basic,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 29945393}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 29945721}]",,"[{'src': 'hda', 'id': 29945394}]",history,[],3199905909.0,fasta,,,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2017-06-09 07:07:47.735009,87422,88070.52963
2018-01-25 23:28:56.514836,slurm_normal_16gb,,,,main_w3_handler1,3289348,18159797,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",135747096,bam,,,12241003,slurm,,corral-repl,,,0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 33500204}]",,"[{'src': 'hda', 'id': 33043257}]",history,[],190438056.0,fasta,,,,,,43444699.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-01-27 11:29:27.459592,113756,129630.94475600001
2018-01-26 17:26:13.283260,slurm_normal_16gb,,,,main_w3_handler1,3289348,18168276,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",135747096,bam,,,12255900,slurm,,corral-repl,,,0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 33500204}]",,"[{'src': 'hda', 'id': 33043257}]",history,[],190438056.0,fasta,,,,,,43444699.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-01-28 23:30:01.521966,113756,194628.238706
2018-01-29 17:39:10.200688,slurm_normal_16gb,,,,main_w4_handler0,3289348,18191139,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",135747096,bam,,,12272467,slurm,,corral-repl,,,0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 33500204}]",,"[{'src': 'hda', 'id': 33043257}]",history,[],190438056.0,fasta,,,,,,43525194.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-01-31 07:34:23.195567,113756,136512.994879
2018-02-16 13:56:59.753748,slurm_normal_16gb,,7572857398.0,vcf,main_w3_handler0,3431748,18411327,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",108908852,bam,,,12497361,slurm,,corral-repl,,"""3c068128132111e89cf8005056ba2773""",0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 33898301}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 33898326}]",,"[{'src': 'hda', 'id': 33898303}]",history,[],3199905909.0,fasta,,,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-02-18 02:17:59.645950,56382,130859.892202
2018-02-19 10:25:17.786369,slurm_normal_16gb,,7572857398.0,vcf,main_w4_handler0,3431748,18434557,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",108908852,bam,,,12530634,slurm,,corral-repl,,,0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 33898301}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 33898326}]",,"[{'src': 'hda', 'id': 33898303}]",history,[],3199905909.0,fasta,,,,,,44001576.0,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-02-21 02:18:32.475694,56382,143594.689325
2018-02-16 13:58:48.142787,slurm_normal_16gb,,7572857398.0,vcf,main_w4_handler0,3431750,18411362,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",108490121,bam,,,12517984,slurm,,corral-repl,,"""7d2310f4132111e8b6ee005056ba2773""",0,basic,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],"[{'input_intervals': {'values': [{'src': 'hda', 'id': 33898343}]}, '__index__': 0}]",ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 33898379}]",,"[{'src': 'hda', 'id': 33898345}]",history,[],3199905909.0,fasta,,,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/realigner_target_creator/gatk_realigner_target_creator/0.0.4,0.0.4,,2018-02-19 14:18:15.870324,56382,260367.72753700003
