create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field1.__class__,parameters.field1.value,parameters.field2,parameters.field2.__class__,parameters.field2.value,parameters.fill_empty_columns.__current_case__,parameters.fill_empty_columns.do_fill_empty_columns.__current_case__,parameters.fill_empty_columns.do_fill_empty_columns.column_fill_type,parameters.fill_empty_columns.do_fill_empty_columns.fill_value,parameters.fill_empty_columns.fill_columns_by,parameters.fill_empty_columns.fill_empty_columns_switch,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.partial,parameters.unmatched,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-07 14:46:08.537553,slurm_normal_64gb,,main_w2_handler0,1836443,9159245,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",34822279,tabular,7131260249,tabular,3441182,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,19174686,,18911759,,"""""","""""",,22293985.0,error,join1,2.0.2,,2015-04-08 18:43:51.953807,4364.0,100663.41625400001
2015-04-09 06:16:19.925530,slurm_normal_64gb,,main_w2_handler1,1836443,9176957,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",34822279,tabular,7131260249,tabular,3456707,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,19174686,,18911759,,"""""","""-u""",,22323543.0,error,join1,2.0.2,,2015-04-10 11:54:56.330842,4364.0,106716.405312
2015-04-17 13:33:42.400184,slurm_normal_16gb,,main_w2_handler1,2249769,9257602,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4488765916,vcf,1040948873,tabular,3541849.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,0,,,,,no_fill,19079936,,19326861,,"""""","""""",,22031885.0,error,join1,2.0.2,,2015-04-18 13:37:49.721230,61465.0,86647.32104600001
2015-06-04 23:20:02.646587,slurm_normal_16gb,,main_w2_handler1,2319933,9600796,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1250,tabular,4493036040,bed,3912161.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""4""",,,0,,,,,no_fill,19918848,,19819767,,"""""","""-u""",,23288049.0,error,join1,2.0.2,,2015-06-05 23:20:49.782605,45534.0,86447.136018
2015-06-09 19:55:16.155008,slurm_normal_16gb,,main_w2_handler0,2319831,9622536,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11674327947,tabular,11687041046,tabular,3933515.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""1""",,,0,,,,,no_fill,19957030,,19957029,,"""""","""""",,23282319.0,error,join1,2.0.2,,2015-06-10 19:56:10.182648,51511.0,86454.02764
2015-07-10 13:52:01.283555,slurm_normal_16gb,,main_w2_handler0,2371514,9828924,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24445484,tabular,23764367013,vcf,4128313.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""2""",,,"""2""",,,0,,,,,no_fill,20292228,,20292289,,"""-p""","""-u""",,24075708.0,error,join1,2.0.2,,2015-07-11 13:53:08.291389,30344.0,86467.007834
2015-07-12 14:36:59.911767,slurm_normal_16gb,,main_w2_handler1,2371514,9843461,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",25047277,tabular,5569320438,tabular,4139413.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""13""",,,"""6""",,,0,,,,,no_fill,20319010,,20316667,,"""-p""","""-u""",,24075708.0,error,join1,2.0.2,,2015-07-13 14:37:54.952287,30344.0,86455.04052000001
2015-08-03 18:39:59.019953,slurm_normal_16gb,,main_w2_handler1,2258569,10057144,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20484792,tabular,30062203327,tabular,4336305.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/taeGut2.len""","""taeGut2""","""1""",,,"""1""",,,0,,,,,no_fill,20667412,,20676647,,"""""","""""",,23552150.0,error,join1,2.0.2,,2015-08-04 18:40:49.380750,5862.0,86450.360797
2015-08-14 13:15:02.107411,slurm_normal_16gb,,main_w1_handler1,2406508,10117615,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",226531,tabular,6385303701,tabular,4390715.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""8""",,,0,,,,,no_fill,20772258,,20772187,,"""""","""""",,24652816.0,error,join1,2.0.2,,2015-08-15 13:15:40.283836,60726.0,86438.17642500001
2015-08-17 10:35:23.889764,slurm_normal_16gb,,main_w1_handler0,2406508,10133166,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",226531,tabular,6385303701,tabular,4404824.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""8""",,,0,,,,,no_fill,20772258,,20772187,,"""""","""""",,24652816.0,error,join1,2.0.2,,2015-08-18 10:35:58.643678,60726.0,86434.753914
