chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.URL,parameters.URL_method,parameters.boolshad.hgSeq.cdsExon,parameters.boolshad.hgSeq.downstream,parameters.boolshad.hgSeq.intron,parameters.boolshad.hgSeq.maskRepeats,parameters.boolshad.hgSeq.promoter,parameters.boolshad.hgSeq.revComp,parameters.boolshad.hgSeq.splitCDSUTR,parameters.boolshad.hgSeq.utrExon3,parameters.boolshad.hgSeq.utrExon5,parameters.boolshad.hgta_printCustomTrackHeaders,parameters.chromInfo,parameters.data_type,parameters.db,parameters.dbkey,parameters.description,parameters.fbDownBases,parameters.fbExonBases,parameters.fbIntronBases,parameters.fbQual,parameters.fbUpBases,parameters.hgSeq.casing,parameters.hgSeq.cdsExon,parameters.hgSeq.downstream,parameters.hgSeq.downstreamSize,parameters.hgSeq.granularity,parameters.hgSeq.intron,parameters.hgSeq.maskRepeats,parameters.hgSeq.padding3,parameters.hgSeq.padding5,parameters.hgSeq.promoter,parameters.hgSeq.promoterSize,parameters.hgSeq.repMasking,parameters.hgSeq.splitCDSUTR,parameters.hgSeq.utrExon3,parameters.hgSeq.utrExon5,parameters.hgsid,parameters.hgta_ctDesc,parameters.hgta_ctName,parameters.hgta_ctUrl,parameters.hgta_ctVis,parameters.hgta_ctWigOutType,parameters.hgta_doGalaxyQuery,parameters.hgta_doGenomicDna,parameters.hgta_doGetBed,parameters.hgta_doGetCustomTrackFile,parameters.hgta_doPrintSelectedFields,parameters.hgta_doTopSubmit,parameters.hgta_outputType,parameters.hgta_palOut,parameters.hgta_printCustomTrackHeaders,parameters.hgta_regionType,parameters.hgta_table,parameters.hgta_track,parameters.hguid,parameters.org,parameters.organism,parameters.position,parameters.table,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-10 16:59:56.107220,slurm_normal,1515603621.0,0.0,,1.0,main_w4_handler1,3381150,17994663,False,,12071352,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,"""0""",,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""upper""","""1""",,,,,"""on""","""0""","""0""",,,"""lower""",,,,"""2802280_CrruAfqwXl3tr7Af7zXrmFeT0vU8""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""BlastP_Gammaproteobacteria""","""BlastP_Bacteria""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""BlastP_Gammaproteobacteria""",32.0,,43007769,1515603608.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 17:00:35.172176,119328.0,13.0
,,2018-01-10 16:41:59.804794,slurm_normal,1515602542.0,0.0,,1.0,main_w4_handler0,3381150,17994563,False,,12071263,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,"""0""",,"""0""",,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""upper""","""1""",,,,,"""on""","""0""","""0""",,,"""lower""",,,,"""2802252_HLHru5OvBUfLWAA6HYM7KRLHqCJn""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""cytoBand""","""cytoBand""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""cytoBand""",32.0,,43007769,1515602529.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 16:42:29.935001,119328.0,13.0
,,2018-03-06 03:17:26.030006,slurm_normal,1520306257.0,0.0,7680.0,1.0,main_w3_handler1,3453071,18618094,False,,12714225,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/therVolc1.len""","""gtf""","""therVolc1""","""therVolc1""","""genome""",,,,,,,,,,,,,,,,,,,,,"""2826619_boAdOr2ycUaefxpb3im5WULbNTim""",,,,,,"""Send query to Galaxy""",,,,,"""get output""","""gff""",,,"""genome""","""refSeq""","""refSeq""","""8887606_TCQ3z4gcojiLkTlUyHN8W11PIWWr""","""Thermoplasma volcanium""","""Thermoplasma volcanium""","""chr:10001-35000""","""refSeq""",32.0,,44360852,1520306251.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-03-06 03:17:39.719980,,6.0
,,2018-01-10 16:23:09.777250,slurm_normal,1515601403.0,0.0,,1.0,main_w3_handler0,3381150,17994388,False,,12071088,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,"""0""",,"""0""",,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""upper""","""1""",,,,,,"""0""","""0""",,,"""lower""",,,,"""2802245_ldA7KPRiggnf9asbOahRu23nmr5M""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""cytoBandIdeo""","""cytoBandIdeo""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""cytoBandIdeo""",32.0,,43007769,1515601392.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 16:23:24.796048,119328.0,11.0
,,2018-01-10 16:21:07.522489,slurm_normal,1515601305.0,0.0,,1.0,main_w4_handler1,3381150,17994371,False,,12071080,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,"""0""",,"""0""",,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""upper""","""1""",,,,,,"""0""","""0""",,,"""lower""",,,,"""2802245_ldA7KPRiggnf9asbOahRu23nmr5M""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""cytoBandIdeo""","""cytoBandIdeo""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""cytoBandIdeo""",32.0,,43007769,1515601291.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 16:22:01.707553,119328.0,14.0
,,2018-01-10 17:11:50.083719,slurm_normal,1515604324.0,0.0,,1.0,main_w3_handler0,3381150,17994718,False,,12071415,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""","""0""","""0""","""0""","""0""","""0""",,"""0""","""0""","""0""",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""exon""","""on""",,"""1000""","""gene""","""on""","""on""","""0""","""0""",,"""1000""","""lower""",,"""on""","""on""","""2802282_A6aaEaDq2KzlAIAL5ASaWDTIAOnP""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""refSeq""","""refSeq""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""refSeq""",32.0,,43007769,1515604315.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 17:12:06.719845,119328.0,9.0
,,2018-01-10 21:42:14.832031,slurm_normal,1515620581.0,0.0,,1.0,main_w3_handler1,3381150,17997208,False,,12073997,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""","""0""","""0""","""0""","""0""","""0""",,"""0""","""0""","""0""",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/salmEnte_ENTERITIDIS.len""","""fasta""","""salmEnte_ENTERITIDIS""","""salmEnte_ENTERITIDIS""","""genome""",,,,,,"""exon""","""on""",,"""1000""","""gene""","""on""","""on""","""0""","""0""","""on""","""1000""","""lower""",,"""on""","""on""","""2802396_1zNSAwY8Knhh7CFV3CIaOF3MAkL5""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""refSeq""","""refSeq""","""8870542_pAWcbo9rkU1DwzNHV4UMe1Hs0Wc9""","""Salmonella enterica serovar Enteritidis P125109""","""Salmonella enterica serovar Enteritidis P125109""","""chr:10001-35000""","""refSeq""",32.0,,43007769,1515620569.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 21:43:04.028537,119328.0,12.0
,,2018-01-10 23:41:16.359127,slurm_normal,1515627687.0,0.0,,1.0,main_w4_handler1,3337512,17998174,False,,12074980,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nostSp.len""","""bed""","""nostSp""","""nostSp""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2802436_8VLbYGArDiS5XxrW6PbTgmO92lXW""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8873047_fwTadewgnGIilbfg1IIc2ijLq05Y""","""Nostoc sp""","""Nostoc sp""","""chr:10001-35000""","""refSeq""",32.0,,42220446,1515627679.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 23:41:28.227200,,8.0
,,2018-01-10 23:41:54.775542,slurm_normal,1515627730.0,0.0,,1.0,main_w3_handler1,3337512,17998177,False,,12074983,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/syneElon_PCC_7942.len""","""bed""","""syneElon_PCC_7942""","""syneElon_PCC_7942""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2802437_ldRN1AdSrIfMmslAAkCYsaypBuF3""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8873047_fwTadewgnGIilbfg1IIc2ijLq05Y""","""Synechococcus elongatus PCC 7942""","""Synechococcus elongatus PCC 7942""","""chr:10001-35000""","""refSeq""",32.0,,42220446,1515627722.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-10 23:42:11.306563,,8.0
,,2018-03-06 02:14:31.563346,slurm_normal,1520302486.0,0.0,7680.0,1.0,main_w3_handler1,3453005,18617659,False,,12713783,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_UTI89.len""","""bed""","""eschColi_UTI89""","""eschColi_UTI89""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2826570_ssnscJf1AOrHILkOVOy2aHFODTRY""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8887602_DKBTWK6FmUpFN5D1g6AlJXcRCeyM""","""Escherichia coli UTI89""","""Escherichia coli UTI89""","""chr:10001-35000""","""refSeq""",32.0,,44273394,1520302481.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-03-06 02:14:48.911395,123129.0,5.0
