bamInput,bamInput_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,extraSampling,extraSampling_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
128332833,bam,,,,,2018-01-04 14:26:05.471856,slurm_multi,1515076437.0,0,,,,6.0,main_w3_handler2,2701150,17944342,False,,,,12020466,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32697257}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",2,,2451960000,"""200""","""pdf""","""""",0,,hg38,cached,32.0,,42417974.0,1515075970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2018-01-04 14:33:58.732630,42716,467.0
2538308742,bam,,,,,2017-10-27 23:23:52.495946,slurm_multi,1509146881.0,0,,,,6.0,main_w3_handler2,3297178,17247252,False,,,,11306464,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 31916850}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,12495682,specific,"""76""","""png""","""""",0,,sacCer3,cached,32.0,,41579796.0,1509146754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-10-27 23:28:06.657864,108343,127.0
4211146738,bam,,,,,2017-10-27 23:23:52.319878,slurm_multi,1509146939.0,0,,,,6.0,main_w4_handler2,3297178,17247251,False,,,,11306462,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 31916849}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,12495682,specific,"""76""","""png""","""""",0,,sacCer3,cached,32.0,,41579796.0,1509146713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-10-27 23:29:02.377774,108343,226.0
4211146738,bam,,,,,2017-10-28 00:27:47.868217,slurm_multi,1509150709.0,0,,,,6.0,main_w3_handler2,3297178,17247631,False,,,,11306933,slurm,,132111800.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31916849}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,12495682,specific,"""75""","""png""","""""",0,,sacCer3,cached,32.0,,41579796.0,1509150492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-10-28 00:31:53.246151,108343,217.0
2538308742,bam,,,,,2017-10-28 00:27:48.458905,slurm_multi,1509150642.0,0,,,,6.0,main_w3_handler2,3297178,17247632,False,,,,11306934,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31916850}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,12495682,specific,"""75""","""png""","""""",0,,sacCer3,cached,32.0,,41579796.0,1509150512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-10-28 00:30:49.800570,108343,130.0
340756760,bam,,,,,2017-10-29 18:40:07.685156,slurm_multi,1509303364.0,0,,,,6.0,main_w3_handler2,3297344,17257720,False,,,,11316410,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 31936085}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",1,,2150570000,"""145""","""pdf""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,41497900.0,1509302432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-10-29 18:56:07.837979,114415,932.0
115000239,bam,,,,,2017-11-04 10:12:56.337860,slurm_multi,1509791944.0,0,,,,6.0,main_w3_handler2,3311032,17325958,False,,,,11386872,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32061977}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""",2,,2451960000,"""300""","""pdf""","""""",0,,eschColi_K12,cached,32.0,,41750317.0,1509790387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-11-04 10:39:08.264469,79028,1557.0
106446036,bam,,,,,2017-11-04 10:13:27.592224,slurm_multi,1509793303.0,0,,,,6.0,main_w4_handler2,3311032,17325960,False,,,,11386988,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32062005}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""",2,,2451960000,"""300""","""pdf""","""""",0,,eschColi_K12,cached,32.0,,41750317.0,1509791957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-11-04 11:01:46.055226,79028,1346.0
174145700,bam,,,,,2017-11-04 10:13:42.750643,slurm_multi,1509795586.0,0,,,,6.0,main_w4_handler2,3311032,17325961,False,,,,11387189,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32062079}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""",2,,2451960000,"""300""","""pdf""","""""",0,,eschColi_K12,cached,32.0,,41750317.0,1509793311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-11-04 11:39:49.169333,79028,2275.0
174402102,bam,,,,,2017-11-04 10:13:13.681467,slurm_multi,1509797819.0,0,,,,6.0,main_w3_handler2,3311032,17325959,False,,,,11387498,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32061981}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""",2,,2451960000,"""300""","""pdf""","""""",0,,eschColi_K12,cached,32.0,,41750317.0,1509795591.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-11-04 12:17:08.426551,79028,2228.0
1054539703,bam,,,,,2017-11-08 22:20:09.335303,slurm_multi,1510181227.0,0,,,,6.0,main_w4_handler2,2391699,17387922,False,,,,11449572,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32172573}]",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",2,,2451960000,"""50""","""png""","""""",0,,hg38,cached,32.0,,41679765.0,1510180058.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0,2.5.0.0,,2017-11-08 22:47:23.172213,66992,1169.0
